Position [um],Voltage [V]
10.200643,0.000001
10.234741,0.000000
10.268839,-0.000001
10.302936,-0.000001
10.337034,0.000000
10.371132,0.000001
10.405229,-0.000001
10.439327,-0.000001
10.473425,0.000002
10.507522,0.000002
10.541620,0.000002
10.575718,0.000002
10.609815,0.000002
10.643913,0.000001
10.678011,0.000002
10.712108,0.000001
10.746206,0.000000
10.780304,-0.000001
10.814401,-0.000001
10.848499,-0.000001
10.882597,-0.000001
10.916694,-0.000003
10.950792,-0.000002
10.984890,0.000000
11.018987,-0.000000
11.053085,0.000001
11.087183,0.000000
11.121280,-0.000002
11.155378,-0.000001
11.189476,-0.000000
11.223573,-0.000002
11.257671,-0.000000
11.291769,-0.000001
11.325866,0.000001
11.359964,-0.000000
11.394062,0.000001
11.428159,0.000001
11.462257,0.000003
11.496355,0.000004
11.530452,0.000005
11.564550,-0.000000
11.598648,-0.000001
11.632745,0.000003
11.666843,0.000000
11.700941,0.000001
11.735038,-0.000000
11.769136,-0.000002
11.803234,-0.000002
11.837331,-0.000002
11.871429,-0.000002
11.905527,-0.000003
11.939624,-0.000003
11.973722,-0.000004
12.007820,0.000000
12.041918,-0.000002
12.076015,-0.000000
12.110113,-0.000002
12.144211,-0.000004
12.178308,-0.000004
12.212406,-0.000004
12.246504,-0.000002
12.280601,-0.000004
12.314699,-0.000000
12.348797,-0.000000
12.382894,-0.000002
12.416992,-0.000001
12.451090,0.000001
12.485187,-0.000003
12.519285,-0.000003
12.553383,-0.000002
12.587480,-0.000003
12.621578,-0.000003
12.655676,0.000000
12.689773,-0.000004
12.723871,-0.000006
12.757969,-0.000005
12.792066,-0.000003
12.826164,-0.000001
12.860262,-0.000002
12.894359,-0.000001
12.928457,-0.000003
12.962555,-0.000005
12.996652,-0.000006
13.030750,-0.000004
13.064848,-0.000003
13.098945,-0.000002
13.133043,-0.000004
13.167141,-0.000005
13.201238,-0.000003
13.235336,-0.000002
13.269434,-0.000002
13.303531,-0.000002
13.337629,-0.000003
13.371727,-0.000000
13.405824,0.000002
13.439922,-0.000001
13.474020,0.000001
13.508117,0.000003
13.542215,0.000001
13.576313,0.000001
13.610410,0.000001
13.644508,0.000002
13.678606,0.000002
13.712703,0.000004
13.746801,0.000003
13.780899,0.000003
13.814996,0.000000
13.849094,0.000001
13.883192,0.000003
13.917289,-0.000003
13.951387,0.000000
13.985485,0.000002
14.019582,0.000001
14.053680,-0.000001
14.087778,-0.000003
14.121875,-0.000002
14.155973,0.000002
14.190071,-0.000001
14.224168,0.000001
14.258266,-0.000002
14.292364,-0.000002
14.326461,-0.000002
14.360559,-0.000002
14.394657,-0.000003
14.428754,-0.000004
14.462852,-0.000004
14.496950,-0.000002
14.531047,-0.000001
14.565145,-0.000002
14.599243,-0.000002
14.633340,0.000001
14.667438,0.000002
14.701536,-0.000001
14.735633,-0.000001
14.769731,0.000001
14.803829,0.000000
14.837926,0.000003
14.872024,0.000005
14.906122,0.000003
14.940219,0.000002
14.974317,0.000004
15.008415,0.000005
15.042512,0.000004
15.076610,0.000007
15.110708,0.000009
15.144805,0.000007
15.178903,0.000004
15.213001,0.000003
15.247098,0.000002
15.281196,0.000002
15.315294,0.000001
15.349391,-0.000002
15.383489,-0.000003
15.417587,0.000001
15.451684,0.000002
15.485782,0.000000
15.519880,0.000000
15.553977,0.000001
15.588075,0.000005
15.622173,0.000001
15.656270,0.000003
15.690368,0.000003
15.724466,-0.000006
15.758563,-0.000005
15.792661,-0.000005
15.826759,-0.000003
15.860856,-0.000007
15.894954,-0.000006
15.929052,-0.000006
15.963149,-0.000006
15.997247,-0.000002
16.031345,-0.000001
16.065442,0.000000
16.099540,0.000000
16.133638,0.000001
16.167735,0.000000
16.201833,-0.000002
16.235931,-0.000003
16.270028,-0.000004
16.304126,-0.000006
16.338224,-0.000004
16.372321,-0.000008
16.406419,-0.000002
16.440517,-0.000001
16.474614,-0.000001
16.508712,-0.000001
16.542810,-0.000001
16.576907,-0.000001
16.611005,-0.000001
16.645103,-0.000001
16.679200,-0.000002
16.713298,-0.000002
16.747396,-0.000002
16.781493,-0.000003
16.815591,-0.000003
16.849689,-0.000001
16.883786,-0.000000
16.917884,0.000004
16.951982,0.000003
16.986079,-0.000000
17.020177,-0.000003
17.054275,-0.000003
17.088372,-0.000002
17.122470,0.000000
17.156568,0.000000
17.190665,-0.000001
17.224763,-0.000001
17.258861,-0.000001
17.292958,0.000003
17.327056,0.000001
17.361154,-0.000000
17.395251,0.000001
17.429349,-0.000001
17.463447,0.000001
17.497544,-0.000004
17.531642,-0.000006
17.565740,-0.000001
17.599837,0.000001
17.633935,-0.000002
17.668033,-0.000006
17.702130,-0.000007
17.736228,-0.000005
17.770326,0.000002
17.804423,0.000001
17.838521,0.000002
17.872619,0.000001
17.906716,0.000001
17.940814,-0.000002
17.974912,-0.000005
18.009010,-0.000005
18.043107,-0.000003
18.077205,-0.000005
18.111303,-0.000009
18.145400,-0.000007
18.179498,-0.000003
18.213596,-0.000000
18.247693,-0.000000
18.281791,-0.000003
18.315889,0.000000
18.349986,0.000003
18.384084,-0.000000
18.418182,0.000001
18.452279,0.000001
18.486377,-0.000000
18.520475,-0.000005
18.554572,-0.000002
18.588670,-0.000002
18.622768,-0.000006
18.656865,-0.000004
18.690963,-0.000001
18.725061,-0.000001
18.759158,-0.000001
18.793256,-0.000001
18.827354,-0.000005
18.861451,-0.000005
18.895549,0.000002
18.929647,0.000000
18.963744,-0.000003
18.997842,-0.000007
19.031940,-0.000010
19.066037,-0.000005
19.100135,0.000004
19.134233,0.000009
19.168330,0.000002
19.202428,-0.000002
19.236526,0.000001
19.270623,0.000003
19.304721,0.000004
19.338819,-0.000001
19.372916,-0.000009
19.407014,-0.000005
19.441112,-0.000002
19.475209,-0.000001
19.509307,-0.000003
19.543405,-0.000007
19.577502,-0.000001
19.611600,0.000005
19.645698,0.000000
19.679795,-0.000002
19.713893,0.000002
19.747991,-0.000004
19.782088,-0.000007
19.816186,-0.000004
19.850284,-0.000001
19.884381,-0.000001
19.918479,-0.000003
19.952577,-0.000005
19.986674,-0.000003
20.020772,-0.000003
20.054870,-0.000001
20.088967,0.000003
20.123065,0.000003
20.157163,-0.000000
20.191260,-0.000001
20.225358,0.000000
20.259456,0.000001
20.293553,0.000001
20.327651,0.000002
20.361749,0.000000
20.395846,-0.000004
20.429944,-0.000004
20.464042,-0.000001
20.498139,0.000003
20.532237,0.000002
20.566335,-0.000000
20.600432,0.000003
20.634530,-0.000000
20.668628,-0.000002
20.702725,0.000003
20.736823,0.000001
20.770921,-0.000000
20.805018,0.000002
20.839116,0.000001
20.873214,0.000000
20.907311,0.000000
20.941409,-0.000000
20.975507,-0.000002
21.009604,-0.000005
21.043702,-0.000007
21.077800,-0.000003
21.111897,-0.000002
21.145995,-0.000007
21.180093,-0.000008
21.214190,-0.000003
21.248288,-0.000004
21.282386,-0.000002
21.316483,0.000003
21.350581,0.000005
21.384679,-0.000001
21.418776,-0.000004
21.452874,0.000001
21.486972,0.000007
21.521069,0.000006
21.555167,0.000001
21.589265,-0.000001
21.623362,0.000001
21.657460,0.000001
21.691558,0.000004
21.725655,0.000002
21.759753,0.000009
21.793851,0.000007
21.827948,0.000001
21.862046,-0.000001
21.896144,-0.000004
21.930241,-0.000012
21.964339,-0.000010
21.998437,-0.000002
22.032534,-0.000013
22.066632,-0.000007
22.100730,-0.000011
22.134827,-0.000007
22.168925,0.000000
22.203023,-0.000006
22.237120,-0.000000
22.271218,-0.000002
22.305316,0.000001
22.339413,-0.000002
22.373511,-0.000002
22.407609,-0.000004
22.441706,-0.000002
22.475804,-0.000002
22.509902,-0.000000
22.543999,-0.000001
22.578097,0.000006
22.612195,0.000003
22.646292,0.000004
22.680390,0.000008
22.714488,0.000002
22.748585,0.000002
22.782683,0.000005
22.816781,-0.000007
22.850878,-0.000008
22.884976,0.000002
22.919074,0.000003
22.953171,-0.000007
22.987269,0.000000
23.021367,-0.000006
23.055464,-0.000001
23.089562,0.000004
23.123660,-0.000000
23.157757,0.000001
23.191855,-0.000001
23.225953,-0.000001
23.260050,-0.000001
23.294148,-0.000006
23.328246,-0.000007
23.362343,-0.000007
23.396441,-0.000012
23.430539,-0.000006
23.464636,0.000007
23.498734,0.000006
23.532832,0.000007
23.566929,0.000015
23.601027,0.000000
23.635125,0.000010
23.669222,-0.000000
23.703320,0.000002
23.737418,0.000002
23.771515,0.000003
23.805613,-0.000008
23.839711,-0.000011
23.873809,-0.000004
23.907906,0.000003
23.942004,0.000001
23.976102,-0.000002
24.010199,-0.000002
24.044297,-0.000008
24.078395,-0.000007
24.112492,-0.000009
24.146590,-0.000005
24.180688,-0.000007
24.214785,-0.000004
24.248883,-0.000007
24.282981,0.000011
24.317078,0.000002
24.351176,0.000012
24.385274,0.000006
24.419371,0.000010
24.453469,0.000008
24.487567,0.000003
24.521664,0.000010
24.555762,0.000007
24.589860,-0.000002
24.623957,-0.000003
24.658055,-0.000005
24.692153,0.000002
24.726250,0.000009
24.760348,0.000004
24.794446,0.000005
24.828543,-0.000000
24.862641,-0.000004
24.896739,-0.000002
24.930836,0.000001
24.964934,-0.000004
24.999032,-0.000010
25.033129,-0.000005
25.067227,-0.000003
25.101325,-0.000007
25.135422,-0.000004
25.169520,-0.000002
25.203618,-0.000005
25.237715,0.000000
25.271813,-0.000002
25.305911,-0.000001
25.340008,0.000004
25.374106,0.000003
25.408204,-0.000001
25.442301,-0.000001
25.476399,0.000000
25.510497,-0.000000
25.544594,-0.000009
25.578692,-0.000014
25.612790,-0.000005
25.646887,-0.000004
25.680985,-0.000004
25.715083,0.000002
25.749180,-0.000004
25.783278,-0.000010
25.817376,-0.000002
25.851473,0.000003
25.885571,-0.000003
25.919669,0.000002
25.953766,0.000005
25.987864,0.000001
26.021962,0.000003
26.056059,0.000012
26.090157,0.000016
26.124255,0.000011
26.158352,0.000006
26.192450,0.000008
26.226548,0.000014
26.260645,0.000003
26.294743,0.000002
26.328841,0.000001
26.362938,-0.000003
