Reference detector [V],Primary detector [V]
1.866809,0.000207
2.500381,0.000647
3.175425,0.000938
3.837309,0.000159
4.416781,-0.000781
4.881714,-0.000536
5.179514,-0.000342
5.293914,-0.000427
5.217144,0.001091
4.962006,0.000286
4.539624,-0.000493
3.997260,0.000111
3.365274,0.000253
2.700808,-0.000975
2.062883,-0.000310
1.490198,-0.001000
1.031966,-0.001313
0.718562,-0.000264
0.581857,-0.001452
0.625988,0.000528
0.843082,-0.000133
1.210022,0.002033
1.726445,0.003128
2.324887,0.001503
2.974184,0.000463
3.609111,0.001059
4.198016,-0.000340
4.684125,0.001667
5.043824,-0.001556
5.253497,-0.000368
5.287891,-0.000789
5.151759,0.000522
4.858971,0.000096
4.420786,0.001780
3.879360,0.000892
3.268925,-0.000595
2.644340,-0.000339
2.029202,0.000297
1.480883,-0.000410
1.042893,-0.001273
0.734667,-0.000823
0.586806,-0.000149
0.606647,-0.000582
0.796357,0.000240
1.133845,-0.000902
1.603547,0.000345
2.163888,-0.001227
2.778464,-0.000288
3.381616,-0.000565
3.972865,0.000539
4.495638,-0.000979
4.903254,-0.001813
5.180000,-0.001027
5.294144,-0.000908
5.243593,-0.001267
5.035000,-0.002296
4.678773,-0.000523
4.210979,-0.000641
3.640579,-0.001787
3.039829,-0.000453
2.428830,-0.001269
1.854246,-0.000654
1.353329,-0.000970
0.952955,-0.000304
0.687850,-0.000659
0.577992,-0.000470
0.625309,-0.001315
0.825850,-0.001197
1.155363,-0.000100
1.612776,0.000129
2.163007,-0.001178
2.762764,-0.001743
3.374003,-0.000236
3.946128,0.000681
4.459770,0.000216
4.867081,-0.000144
5.149214,0.000113
5.286369,-0.000183
5.266034,0.001264
5.092876,0.000152
4.777632,-0.001296
4.345479,-0.001520
3.834270,0.000637
3.251751,-0.000541
2.655966,-0.000229
2.081004,-0.000531
1.566111,0.000509
1.128877,0.000799
0.803534,-0.000888
0.617140,0.000190
0.579437,-0.000992
0.692869,-0.000436
0.951445,0.000131
1.334468,0.000637
1.818374,-0.001183
2.380009,-0.001928
2.978547,-0.000504
3.564746,-0.000279
4.118017,-0.000910
4.591427,-0.000704
4.961212,0.000123
5.198344,0.000283
5.295767,0.000203
5.240238,0.000534
5.034961,-0.001752
4.690815,-0.001446
4.241551,-0.000640
3.700770,0.001907
3.115374,0.000803
2.521106,0.000120
1.951326,0.000887
1.440467,-0.000658
1.024611,-0.000052
0.738636,0.000329
0.590865,-0.000235
0.596211,0.000995
0.751244,0.000590
1.041005,0.001364
1.460182,0.000155
1.959942,0.000737
2.529411,-0.000252
3.137626,-0.000110
3.731786,0.000886
4.264368,0.001350
4.714036,0.001941
5.054138,0.001407
