Reference detector [V],Primary detector [V]
4.668627,0.000145
4.220057,0.000527
3.693680,-0.000740
3.114958,-0.000754
2.527344,0.000250
1.975739,0.000687
1.468027,-0.000310
1.071094,0.000252
0.770415,0.000129
0.606674,-0.000697
0.586498,-0.000352
0.706796,-0.001197
0.959916,-0.001122
1.336132,-0.001279
1.813335,-0.001095
2.343287,-0.001290
2.919547,-0.001020
3.487932,0.000139
4.025249,-0.000380
4.505648,0.000794
4.886715,0.000316
5.148390,0.000241
5.278873,-0.001046
5.267686,-0.000021
5.115518,-0.002039
4.829438,0.000836
4.438725,-0.001820
3.939089,0.000887
3.387853,0.000089
2.801428,-0.000190
2.223085,-0.000178
1.682141,0.000451
1.224673,-0.001347
0.878839,-0.000758
0.658253,-0.000635
0.577632,-0.001329
0.642152,-0.000640
0.848041,-0.001556
1.185007,0.000415
1.628758,-0.000865
2.147207,-0.000620
2.719749,-0.000754
3.315305,-0.001160
3.888191,-0.001525
4.396524,0.001000
4.816901,0.001042
5.108760,-0.000194
5.265794,0.000417
5.278945,0.000317
5.149611,-0.001701
4.881246,-0.001790
4.485309,-0.001025
4.003977,-0.000088
3.455835,-0.001383
2.877604,-0.000545
2.299455,-0.000387
1.753431,0.000306
1.272632,0.000380
0.914705,0.000986
0.674914,0.003041
0.578876,-0.000562
0.624924,-0.000974
0.811522,-0.001561
1.134846,-0.001542
1.557625,-0.002945
2.075864,-0.001174
2.639816,-0.000102
3.221307,-0.001740
3.792733,-0.001055
4.306071,-0.001271
4.744521,-0.000236
5.059637,-0.000714
5.247534,0.000758
5.287871,0.000449
5.186712,0.001161
4.939699,0.001513
4.568885,0.000526
4.094788,0.001206
3.541535,0.001175
2.958483,0.000564
2.370456,0.001542
1.813612,0.001396
1.321669,0.000238
0.952342,0.002429
0.694737,0.002882
0.582771,0.003142
0.619953,0.001230
0.802075,0.001710
1.131284,0.000852
1.572343,0.000328
2.093539,0.001403
2.689678,-0.000032
3.279845,-0.000861
3.853292,-0.000036
4.360898,0.001249
4.789364,0.002409
5.097202,0.000035
5.262092,0.001482
5.279648,0.000728
5.153902,-0.000616
4.885338,-0.000286
4.493944,0.000492
3.996140,0.000974
3.432934,0.000688
2.847104,0.000602
2.263464,0.000368
1.723418,0.000233
1.248116,0.000594
0.891833,0.001068
0.660387,0.000019
0.576939,0.000405
0.643655,-0.000276
0.858161,0.000735
1.189303,-0.000789
1.643549,-0.000781
2.189868,-0.000093
2.775815,-0.001099
3.374404,-0.001712
3.942892,-0.000639
4.449012,0.000187
4.840451,0.000952
5.129632,0.000308
5.273893,-0.001245
5.268272,0.000065
5.103130,-0.000386
4.795759,0.000650
4.366024,-0.000140
3.854052,-0.001244
3.268898,-0.001812
2.661107,-0.002618
2.078182,-0.001040
1.545216,0.000312
1.107814,-0.001802
0.790304,-0.001916
0.613776,0.001444
0.589186,0.000666
0.723909,0.001678
1.004919,0.000223
1.416448,-0.001082
1.929543,-0.000801
2.507099,-0.001014
3.099554,-0.000913
3.691331,-0.000447
4.235582,-0.000438
4.689922,0.001107
5.039467,-0.000165
5.240840,-0.000003
5.289071,0.000279
5.182042,-0.000692
4.922809,0.001296
4.536128,0.000294
4.042933,-0.000545
3.483296,-0.000441
2.882111,0.000968
2.286928,0.000483
1.754704,0.000855
1.267253,0.001392
0.899217,0.001227
0.665099,-0.000376
0.577323,0.001926
0.643298,0.001830
0.861835,-0.000086
1.207173,0.001199
1.669529,0.001573
2.218760,0.001916
2.809504,0.001460
3.410854,0.001835
3.982152,0.001060
4.482650,0.002206
4.879458,0.000967
5.154850,0.000262
5.284173,0.002489
5.257123,0.002190
5.076285,0.002515
4.751431,0.001867
4.304949,0.002317
3.775179,0.002363
3.182867,-0.000368
2.581823,0.000038
1.988320,-0.001115
1.469358,-0.000915
1.045067,-0.000666
0.743007,-0.001871
0.594972,-0.003279
0.600956,-0.001933
0.764772,-0.001359
1.073040,-0.001810
1.501311,-0.000220
2.028600,-0.000669
2.619648,0.000577
3.223366,-0.000889
3.831547,-0.001385
4.360155,-0.001406
4.795093,-0.000501
5.104228,-0.002636
5.268115,-0.000747
5.276905,-0.001412
5.127514,-0.001401
4.827890,-0.001829
4.413944,-0.000981
3.878629,0.000230
3.288238,-0.000100
2.676965,0.001454
2.087078,0.000542
1.554513,0.001748
1.111903,0.000021
0.788906,0.000346
0.610759,-0.000274
0.587873,-0.000154
0.726198,-0.000223
1.006564,-0.000384
1.426484,-0.000264
1.941896,0.000452
2.521228,0.000488
3.133304,0.001080
3.726787,0.001171
4.275468,0.000542
4.733714,0.000521
5.064229,0.000165
5.252758,0.000630
5.283832,0.000929
5.156552,-0.000775
4.870983,-0.000746
4.459888,-0.000770
3.939883,0.000188
3.339888,-0.000125
2.718198,-0.000387
2.110960,-0.001097
1.557582,-0.000291
1.110608,-0.000587
0.784212,-0.000327
0.607784,-0.002304
0.593289,0.000265
0.744973,-0.000387
1.055945,-0.001579
1.486072,-0.001127
2.023294,-0.000711
2.618799,-0.000220
3.239040,-0.001605
3.843118,-0.001543
4.381370,-0.001696
4.816987,-0.000577
5.122919,-0.000208
5.276323,-0.000760
5.261724,-0.001105
5.078511,-0.001646
4.744992,0.000590
4.282897,-0.000671
3.723899,0.001311
3.116581,-0.000431
2.498692,0.001107
1.899075,0.000616
1.375143,0.000561
0.963167,0.000956
0.692642,0.000798
0.580202,0.000261
0.632048,0.000378
0.845339,0.000572
1.212437,-0.001073
1.689192,0.001062
2.269001,0.000378
2.883801,0.000187
3.514472,-0.000100
4.105023,0.001477
4.608251,0.000125
4.990169,-0.000457
5.221441,0.000437
5.290435,-0.000541
5.189279,0.001005
4.928835,0.000979
4.526285,-0.000006
4.008877,0.000157
3.410350,-0.001008
2.777321,0.000070
2.141272,-0.000747
1.580707,-0.001034
1.114223,-0.002473
0.783358,-0.000220
0.603926,-0.000977
0.596298,0.001149
0.758398,0.001058
1.076888,0.001033
1.534373,0.002807
