Reference detector [V],Primary detector [V]
2.799284,0.000281
3.338296,-0.000913
3.856936,-0.000798
4.326924,-0.001571
4.727515,-0.001732
5.022731,-0.001619
5.217767,-0.002158
5.287030,-0.003308
5.231806,-0.001526
5.053794,-0.001534
4.766861,-0.000238
4.375865,-0.000751
3.908002,0.000384
3.386072,-0.001693
2.839724,-0.000151
2.299901,-0.001936
1.783074,-0.000590
1.341226,-0.000573
0.979295,-0.002423
0.727339,-0.001315
0.592611,-0.000569
0.591864,-0.000822
0.717124,-0.000566
0.969261,0.000685
1.321338,0.001403
1.765399,0.001041
2.274151,0.000285
2.846338,0.000107
3.392585,-0.000349
3.924760,-0.000105
4.404303,0.000067
4.796620,0.000814
5.085674,-0.000019
5.249354,-0.000632
5.281788,0.000451
5.181181,-0.000340
4.948519,0.000315
4.604738,0.000368
4.157106,0.001494
3.635261,0.000605
3.076276,0.001617
2.521482,0.001171
1.975845,0.000451
1.486964,0.001045
1.076174,0.001273
0.781300,-0.000037
0.610831,-0.000558
0.582546,0.000343
0.696987,-0.000994
0.939934,-0.000059
1.306974,0.000169
1.777050,0.001511
2.318385,-0.000527
2.892411,-0.001452
3.468325,-0.000004
4.019727,-0.000954
4.495658,-0.000960
4.880683,-0.001579
5.149135,-0.001905
5.276715,0.000129
5.255850,-0.000719
5.095190,-0.000080
4.786012,-0.000767
4.371418,0.002155
3.850201,0.000240
3.278286,0.000015
2.679363,-0.000297
2.105198,0.001045
1.585873,0.001471
1.147347,0.001576
0.818323,0.000939
0.623063,0.000019
0.581896,0.000256
0.691426,0.000074
0.950372,0.001340
1.330153,0.000965
1.831127,0.001400
2.406649,0.002053
3.005931,0.001365
3.604457,0.001987
4.167270,0.001999
4.641173,0.000833
5.006664,0.000283
5.222298,0.000847
5.284615,-0.000814
5.187533,-0.001047
4.936187,-0.000740
4.548368,-0.000694
4.040278,0.000052
3.456955,0.000817
2.832708,0.000379
2.211820,-0.000322
1.651437,0.000053
1.174826,-0.000416
0.822136,-0.002960
0.620741,-0.001663
0.585267,0.000270
0.717785,-0.000059
1.006902,-0.001560
1.432871,-0.001218
1.954545,-0.001671
2.552449,-0.001072
3.185475,-0.000741
3.799483,-0.001356
4.349451,-0.001162
4.799015,-0.000508
5.114637,-0.000121
5.268606,0.000315
5.257135,-0.000571
5.078276,-0.000245
4.745120,-0.000005
4.273787,0.000157
3.706441,0.000340
3.088622,0.001905
2.460100,0.001696
1.857646,0.000644
1.329231,0.001590
0.917967,0.001110
0.665399,0.001804
0.578344,-0.001134
0.666669,-0.000989
0.920576,0.000158
1.324242,-0.000211
1.857318,-0.000701
2.462303,-0.001092
3.101850,-0.001541
3.727301,-0.001182
4.310439,-0.000735
4.784876,0.000580
5.114753,0.001782
5.272152,-0.000094
5.251177,-0.000623
5.043144,0.001714
4.680820,0.003007
4.177406,-0.000542
3.573978,0.000191
2.925844,0.001202
2.270720,0.000931
1.677747,0.000774
1.165789,0.001167
0.807774,-0.000115
0.609135,0.001831
0.595541,0.001386
0.766244,0.002317
1.110056,0.000787
1.620449,-0.000074
2.227680,-0.000511
2.881570,-0.000722
3.532908,-0.001553
4.158937,-0.001093
4.664669,-0.002177
5.041964,-0.000545
5.249249,-0.000205
5.269105,0.001936
5.101268,0.000974
4.755101,-0.000486
4.271717,-0.000208
3.670709,0.000463
3.012477,-0.000094
2.366134,-0.000772
