Reference detector [V],Primary detector [V]
1.778887,0.001421
2.385194,-0.000847
3.003945,0.000575
3.633861,0.000050
4.214702,0.000209
4.706497,0.000978
5.058717,0.001720
5.258474,0.000788
5.288157,0.001818
5.147027,0.001294
4.842733,0.002171
4.390889,0.001513
3.826044,-0.000502
3.200221,-0.000308
2.561560,-0.000586
1.952695,-0.001169
1.411780,-0.001364
0.985903,-0.000270
0.698692,-0.000772
0.577117,0.001237
0.630368,0.000018
0.857341,0.000761
1.229666,0.001614
1.742270,0.000053
2.330433,0.001522
2.971049,0.000768
3.608684,-0.001556
4.197351,-0.001111
4.687600,-0.000243
5.050620,-0.002744
5.258485,-0.001244
5.291842,-0.001464
5.151728,0.000035
4.847722,-0.000116
4.408912,0.000387
3.858892,0.000380
3.243011,0.000660
2.600869,0.001393
1.978252,-0.000949
1.439198,-0.001019
1.000827,0.000408
0.711055,-0.000699
0.580005,0.000326
0.620851,-0.001018
0.830447,0.000891
1.195700,0.000452
1.697315,0.000646
2.287454,-0.000963
2.911149,-0.000748
3.539781,-0.001657
4.126604,-0.000598
4.625757,-0.001793
5.009521,-0.000991
5.236202,0.000767
5.296306,-0.000137
5.178314,-0.000521
4.890837,0.000840
4.468707,0.000129
3.934359,0.002223
3.317830,0.002263
2.690707,0.002878
2.059726,0.002571
1.504988,0.002218
1.049037,0.000926
0.735561,0.001655
0.585101,-0.000754
0.608559,-0.000393
0.806854,0.001492
1.159360,0.001402
1.648595,0.002003
2.225880,0.000402
2.861981,0.000951
3.497626,0.002143
4.092143,0.000941
4.601189,0.003135
4.992251,0.000247
5.227829,0.000800
5.298998,0.001269
5.196278,0.001099
4.930055,0.000299
4.519096,0.000113
3.991895,-0.001700
3.397770,-0.000287
2.756957,0.000867
2.128169,0.000791
1.574605,0.000057
1.106417,0.000995
0.773230,0.000600
0.599846,0.000021
0.592629,0.000069
0.756432,0.001421
1.069460,-0.000284
1.521047,-0.001040
2.087409,-0.001372
2.706400,-0.000529
3.334938,-0.002115
3.943895,-0.001955
4.483354,-0.000280
4.900028,0.000419
5.181324,-0.000073
5.296459,0.000756
5.241173,0.000804
5.017002,0.000415
4.651330,-0.000461
4.153486,0.000560
3.577935,0.000596
2.943847,-0.001179
2.319829,-0.000939
1.733490,-0.001012
1.231268,-0.002342
0.854218,-0.000765
0.632177,-0.001008
0.576171,-0.000975
0.693258,0.001639
0.972485,0.000931
1.394363,0.001257
1.945268,0.000012
2.541222,0.001093
3.178716,-0.001482
3.800066,-0.000019
4.347713,0.000161
4.798148,0.000481
5.125273,0.000316
5.283447,-0.000128
5.272331,0.001301
5.089005,-0.000111
4.746983,0.000022
4.278444,0.001581
3.709524,0.001158
3.093738,0.000820
2.457241,0.000538
1.855803,0.000191
1.332484,0.001030
0.930223,0.002249
0.665212,0.002582
0.573220,0.000685
0.656938,0.000761
0.904971,-0.000784
1.301667,0.001360
1.807977,0.001333
2.404304,0.001271
3.049864,0.000352
3.659325,0.000694
4.241239,-0.000905
4.717598,-0.000624
5.070494,0.000281
5.264831,0.000029
5.286763,0.000218
5.130990,-0.000355
4.819320,0.000499
4.374965,-0.001121
3.823462,0.000692
3.200790,-0.000059
2.567766,-0.000501
1.955037,-0.000283
1.403328,-0.000257
0.983464,0.000405
0.698205,-0.000761
0.578030,0.000795
0.635613,0.002008
0.857394,0.000831
1.216156,0.001181
1.735008,0.002798
2.312585,0.001979
2.959074,0.000969
3.609825,0.002410
4.201734,0.001844
4.690206,0.002304
5.054295,0.001743
5.260871,0.001107
5.289576,0.002026
5.150162,0.001943
4.841197,0.002260
4.398997,0.001009
3.842744,0.002488
3.224530,0.000420
2.580894,0.002632
1.957847,0.002276
1.412359,0.002286
0.980884,0.002365
0.695809,0.000791
0.577922,0.000852
0.633991,0.000581
0.865846,-0.000355
1.256268,-0.000264
1.761081,0.000515
2.367390,-0.000744
3.016707,-0.000064
3.647987,-0.000257
4.218910,0.000257
4.719676,-0.000117
5.069447,-0.001151
5.263361,-0.000442
5.284705,-0.000330
5.130190,-0.000236
4.812020,-0.000843
4.366195,-0.000711
3.784510,-0.001625
3.169446,-0.000249
2.527664,-0.001181
1.902363,-0.001502
1.356738,-0.000707
0.942088,-0.000091
0.675708,-0.001064
0.573810,0.001299
0.655094,0.000865
0.910085,0.000655
1.320887,0.000941
1.859602,0.000305
2.475128,-0.000654
3.110294,-0.001014
3.764053,-0.000913
4.340998,-0.001469
4.806699,-0.000999
5.132075,-0.000511
5.287321,0.000244
5.257998,0.001015
5.058672,0.000386
4.680226,0.001006
4.183195,0.000283
3.581016,-0.000330
2.931427,-0.000888
2.282296,-0.000292
1.685153,-0.000081
1.185498,-0.000255
0.805906,-0.001234
0.606706,-0.001657
0.590018,0.000314
0.757430,-0.000654
1.103174,0.001072
1.585730,0.000458
2.173645,-0.000637
2.828234,-0.000842
3.488817,-0.000367
4.097177,-0.001053
4.619183,-0.000646
5.016155,-0.000963
5.247723,0.000753
5.292830,-0.001249
5.147325,-0.001265
4.830829,-0.000981
4.365600,0.000615
3.791193,0.001117
3.152309,0.000650
2.492901,0.001724
1.868439,0.000445
1.315910,0.001672
0.901101,0.000213
0.648408,0.000804
0.576340,-0.000513
0.692683,-0.000084
0.989828,0.001121
1.430687,0.002257
2.001705,0.000886
