Reference detector [V],Primary detector [V]
1.410003,0.001706
0.934822,-0.000414
0.655734,-0.000563
0.583943,0.000095
0.735708,0.000494
1.094695,0.000371
1.626605,0.000363
2.283557,0.000404
2.997626,0.001101
3.711380,0.001308
4.351514,-0.000133
4.854679,-0.000538
5.177307,-0.000011
5.289465,-0.000403
5.181216,-0.001418
4.866992,-0.000978
4.374588,-0.001321
3.748361,-0.000624
3.050495,-0.002092
2.343530,-0.000695
1.680131,0.000464
1.142610,-0.000354
0.768933,0.000525
0.590397,0.000677
0.628836,-0.000212
0.874820,0.000955
1.315424,0.000093
1.889956,0.001137
2.569235,0.000500
3.260486,0.000164
3.934260,-0.000902
4.520549,-0.000548
4.968280,0.000009
5.227212,-0.000253
5.282820,0.000191
5.136731,-0.000309
4.789139,0.000984
4.279037,0.002076
3.643764,0.001477
2.958179,0.000490
2.255212,0.000144
1.622963,-0.000718
1.115174,-0.000902
0.750897,0.000532
0.587026,0.000845
0.630388,0.000234
0.875738,-0.001570
1.302525,-0.001364
1.868557,-0.000162
2.530421,0.000821
3.227746,-0.000331
3.900377,0.001199
4.478713,0.001393
4.926383,0.000732
5.205440,0.000541
5.288199,-0.000827
5.169523,-0.001113
4.857817,-0.001950
4.379576,-0.001233
3.773586,-0.001491
3.106990,-0.000606
2.411915,0.001224
1.775818,0.001410
1.229383,-0.000359
0.830117,0.001086
0.613634,0.000199
0.592122,0.001047
0.766106,-0.000049
1.124098,-0.000623
1.632066,0.000123
2.246001,-0.000212
2.912910,-0.000413
3.577490,0.000119
4.192485,0.000847
4.706598,-0.001411
5.077360,-0.001088
5.264932,-0.000393
5.266735,0.001683
5.073778,0.000945
4.711554,-0.000252
4.193224,-0.002841
3.580207,-0.001333
2.918192,-0.003053
2.260879,-0.001612
1.643921,-0.001766
1.145250,-0.001724
0.786366,-0.001360
0.597918,-0.000362
0.604630,-0.000950
0.799252,-0.001562
1.156030,0.000519
1.658012,-0.001158
2.265518,-0.001306
2.911265,-0.001424
3.562743,-0.001219
4.174562,-0.000702
4.680029,-0.001277
5.052401,-0.002393
5.257623,-0.000636
5.272521,-0.001951
5.099901,-0.001293
4.757137,-0.000485
4.268661,-0.001361
3.670111,-0.000111
3.024767,0.001003
2.364398,0.000661
1.751049,-0.000700
1.238620,-0.000136
0.845618,-0.000597
0.624843,-0.000101
0.583621,0.000179
0.731234,-0.000378
1.055449,0.001152
1.529858,0.001437
2.112254,0.000117
2.755594,0.002083
3.418929,0.002408
4.041523,0.001734
4.566017,0.001308
4.975716,0.000187
5.221907,0.000439
5.286659,0.000309
5.163255,0.000009
4.867383,0.001249
4.415278,0.000487
3.865710,0.000833
3.219104,-0.001000
2.563444,-0.000622
1.937834,0.000198
1.384476,0.000160
0.951752,0.000353
0.675110,0.001251
0.576397,-0.001757
0.659775,-0.001175
0.918939,-0.001272
1.338955,-0.001402
1.882220,-0.000452
2.503926,-0.001688
3.160808,0.000194
3.797997,-0.000157
4.383368,0.000937
4.834851,-0.000420
5.139396,0.000384
5.283326,0.001244
5.239326,0.001615
5.011793,-0.000428
4.633728,0.000178
4.106476,-0.000408
3.500724,-0.000348
2.842756,0.000314
2.179602,-0.000243
1.588708,-0.000296
1.108444,-0.000531
0.767515,-0.000125
0.593746,0.000762
0.606951,-0.000051
0.802831,0.001354
1.164724,0.002056
1.668162,0.001013
2.277181,-0.000965
2.918441,0.000551
3.585012,0.000166
4.193479,0.000968
4.690077,-0.001136
5.055864,-0.001410
5.257450,-0.000601
5.272294,-0.002559
5.108419,-0.000941
4.758964,-0.002033
4.266324,-0.000974
3.682808,-0.000562
3.041130,0.000892
2.385749,0.001100
1.769952,0.000785
1.250121,0.001765
0.850628,0.001408
0.627589,-0.000150
0.583890,0.001054
0.722502,0.000820
1.041348,0.000655
1.493916,0.000652
2.058587,0.000902
2.705857,0.001465
3.350024,0.000523
3.975622,0.000171
4.511401,0.000915
4.935034,-0.000182
5.200841,-0.000275
5.290821,-0.000622
5.196983,-0.000789
4.927481,-0.001034
4.498967,0.000443
3.955453,-0.000918
3.322112,-0.000402
2.660984,-0.000111
2.024063,-0.000381
1.460632,0.000629
1.010535,-0.000519
0.712144,-0.000454
0.581829,-0.003558
0.628511,-0.003266
0.854321,-0.003085
1.222742,-0.002029
1.740436,-0.001924
2.342569,-0.001278
2.997573,-0.000792
3.637866,-0.000609
4.233180,0.000544
4.715697,-0.000538
5.065048,-0.000298
5.260261,0.000853
5.276579,-0.000669
5.120972,-0.000944
4.801507,-0.002621
4.336852,-0.001130
3.766821,-0.000563
3.158176,-0.002564
2.513424,-0.001693
1.901880,0.000964
1.376424,-0.001124
0.962137,-0.000897
0.681416,-0.000004
0.576544,0.001066
0.646055,0.000359
0.887260,-0.000565
1.280071,0.001138
1.794206,-0.000542
2.392314,-0.000266
3.032642,0.000032
3.657129,0.000571
4.228323,-0.001027
4.712003,0.000102
5.063728,-0.000441
5.256739,0.000118
5.278460,0.001006
5.126539,0.001709
4.814646,-0.000334
4.364822,0.000582
3.805781,0.000501
3.194037,-0.000526
2.554381,-0.001041
1.940538,-0.000537
1.397207,-0.000183
0.976521,-0.001135
0.692044,0.000314
0.578665,0.000779
0.634097,0.000860
0.856022,0.001255
1.235012,-0.000105
1.737493,0.000271
2.334632,-0.001182
2.962224,-0.000416
3.606494,-0.000264
4.187445,-0.000413
4.678702,0.001247
5.037097,-0.000344
5.244274,0.000092
5.283101,0.001265
5.147095,-0.000154
4.844727,0.000284
4.402326,0.000357
3.839572,0.001056
3.221622,0.000068
2.584727,0.000252
1.958612,-0.000179
1.409508,-0.000457
0.977814,-0.001019
0.694972,-0.000462
0.578377,-0.001334
0.640796,-0.001664
0.873933,-0.000435
1.262591,-0.001211
1.771799,-0.000457
2.373752,-0.000062
3.009192,0.000670
3.653931,0.001696
4.229045,-0.000169
4.718024,0.001101
5.069678,0.001381
5.259551,0.001541
5.274350,0.000771
5.113887,0.001880
4.789131,0.000301
4.317767,0.001666
3.747881,0.000138
3.120766,0.000805
2.480520,0.000118
1.870642,-0.000638
1.348207,0.001072
0.933153,-0.000523
0.670506,0.001087
0.576914,0.000026
0.658478,-0.000725
0.906870,-0.000278
1.313021,0.001553
1.829131,0.000166
2.437659,0.001142
3.085417,-0.000353
3.706691,0.000991
4.281032,0.000777
4.744333,0.000143
5.082653,-0.000774
5.263417,0.001035
5.272385,0.000014
5.107865,0.000108
4.784129,-0.001611
4.312986,-0.001985
3.748292,-0.001391
3.121086,0.000636
2.482972,0.001302
1.866840,-0.000852
1.343502,-0.000454
0.932732,-0.000480
0.670514,0.000276
0.576618,-0.000758
0.657397,0.000081
0.901628,-0.000783
1.311094,-0.001002
1.838340,-0.003029
2.428378,-0.003768
3.057024,-0.000550
3.690191,-0.000998
4.250653,-0.000826
4.723470,-0.001184
5.073655,0.000633
5.258795,-0.001017
5.276264,0.000691
5.122948,-0.000407
4.811619,0.000652
4.367641,-0.000201
3.818394,-0.000492
3.200814,0.000142
2.570636,0.001103
1.968693,0.000778
1.424238,-0.000606
0.995102,-0.000883
0.709759,-0.000664
0.580898,0.000570
0.622020,-0.000265
0.825487,0.000619
1.175270,0.000375
1.645620,0.000925
2.208626,0.000063
2.822628,-0.001279
3.433181,-0.000408
4.024870,-0.000866
4.534577,0.000945
4.932628,0.000439
5.190663,-0.000948
5.290580,-0.000302
5.225001,-0.000989
4.997528,0.000124
4.629449,0.001148
4.136284,0.001437
3.562327,0.001978
2.936310,0.001506
2.326300,-0.000235
1.756011,0.001341
1.259073,-0.000557
0.885012,0.000037
0.652027,0.001325
0.575700,0.000444
0.667139,0.002556
0.911305,-0.000193
1.297600,0.001188
1.798489,-0.000381
2.378384,0.000318
2.987931,0.001594
3.593628,0.000171
4.151164,0.001791
4.628938,0.000226
4.997851,-0.000329
5.222068,0.000286
5.290764,-0.000096
5.198701,-0.000632
4.951159,-0.000956
4.580835,-0.001543
4.094678,0.001262
3.535788,0.000309
2.929248,0.001629
2.329282,0.001574
1.771261,-0.001228
1.292135,0.000373
0.915537,-0.000287
0.674148,0.000651
0.576049,-0.001052
0.631071,-0.000394
0.838488,-0.001773
1.180508,-0.000574
1.639527,-0.000560
2.174938,-0.000595
2.761454,-0.001102
3.361155,-0.000238
3.927822,-0.002060
4.437127,-0.000265
4.838881,-0.001272
5.123709,-0.000003
5.272876,-0.001942
5.273204,-0.001696
5.124798,-0.001301
4.837841,-0.001200
4.436689,-0.000711
3.938189,-0.000206
3.384311,0.000197
2.788732,0.000261
2.221413,0.000126
1.683229,0.000403
1.230506,0.002703
0.878400,0.001670
0.655634,0.001562
0.574274,0.000419
0.636997,0.000659
0.838166,0.002233
1.172722,0.000620
1.611035,0.001714
2.118456,0.000597
2.672671,0.001120
3.252810,0.001205
3.803877,0.001982
4.293602,0.001400
4.715923,0.000484
5.031397,-0.001323
5.228258,-0.001939
5.291880,-0.001080
5.218904,-0.001566
5.017333,-0.001510
4.693598,-0.001654
4.283160,-0.002260
3.785627,-0.000776
3.250482,0.000693
2.709759,-0.000301
2.168088,-0.001324
1.671500,-0.000700
1.245181,-0.001499
0.904999,-0.000954
0.681485,-0.002010
0.578455,-0.002008
0.607468,-0.001095
0.760937,-0.001080
1.030690,-0.000723
1.404734,-0.002004
1.846843,0.000100
2.374067,-0.000472
2.913494,0.001004
3.449159,0.000026
3.965004,-0.001109
4.430339,-0.000991
4.808059,-0.000773
5.086186,0.000338
5.252756,-0.000285
5.289454,0.000192
5.201287,0.000374
4.993801,-0.000193
4.675755,0.000610
4.264473,0.000804
3.795252,0.000970
3.270522,-0.000678
2.736309,-0.000110
2.202250,0.001248
1.713146,0.001010
1.286912,-0.000851
0.952579,-0.000381
0.714306,0.000941
0.589217,0.000833
0.588109,0.001716
0.711664,-0.000600
0.946269,-0.000236
1.286531,-0.002419
1.713214,-0.001044
2.196592,-0.000271
2.723239,0.000064
3.252904,-0.000434
3.769904,-0.002544
4.233618,-0.001751
4.638735,-0.000715
4.955231,-0.000725
5.174898,-0.001681
5.283170,-0.001190
5.272563,-0.002374
5.147710,-0.001398
4.909928,-0.000093
4.570707,0.000460
4.164235,-0.001663
3.689913,-0.000265
3.180885,-0.000101
2.654053,-0.000195
2.141227,-0.000459
1.669565,-0.002005
1.262045,-0.000800
0.932385,-0.000966
0.706708,-0.000269
0.589844,-0.000361
0.586562,0.000180
0.699946,0.000994
0.928147,0.001712
1.258823,0.002030
1.672559,0.000849
2.158890,0.001455
2.678573,0.001633
3.212133,0.000709
3.731191,0.000466
4.210724,-0.000482
4.624907,0.000733
4.955379,-0.000795
5.177794,0.001114
5.283896,0.001444
5.268849,0.000667
5.131671,0.001505
4.882007,0.001910
4.535620,0.001344
4.107891,0.000882
3.614828,-0.001058
3.074543,0.000113
2.533065,0.000647
2.014934,0.001201
1.544614,-0.000562
1.143465,-0.000130
0.839223,-0.001587
0.645844,-0.001321
0.573614,-0.000433
0.628503,0.000704
0.811442,-0.001595
1.110482,0.001405
1.508083,0.000532
1.986809,0.000152
2.521725,-0.000328
3.083604,0.000357
3.625866,0.000839
4.138523,0.001357
