Reference detector [V],Primary detector [V]
1.423962,0.001780
1.026122,-0.000386
0.738976,-0.000193
0.591101,-0.000013
0.590570,-0.000141
0.732248,0.000008
1.010118,0.000347
1.407781,0.000236
1.895217,0.000295
2.448628,0.000961
3.031320,-0.000381
3.610573,-0.000091
4.148019,0.001572
4.610401,0.000483
4.970970,0.002293
5.201906,-0.000463
5.292315,-0.000706
5.236486,-0.000311
5.036227,0.001055
4.707015,0.001394
4.266293,-0.000397
3.735780,-0.001545
3.158873,-0.001553
2.562391,-0.000404
1.997359,0.000071
1.474084,-0.000461
1.054835,-0.002324
0.750620,-0.001761
0.592728,-0.000990
0.588101,-0.000807
0.731166,0.000101
1.013155,-0.000633
1.421348,-0.001058
1.933826,0.000005
2.502478,0.001012
3.094435,0.000022
3.678188,0.000611
4.213741,0.002217
4.665215,0.001288
5.013309,0.000778
5.226017,0.000230
5.293696,0.000135
5.208484,-0.000157
4.976057,0.000355
4.611051,-0.000581
4.140589,-0.002136
3.580213,-0.000659
3.004208,-0.001087
2.412131,0.000064
1.859672,0.000390
1.361187,0.000531
0.969720,0.002191
0.703314,0.001297
0.581237,-0.000675
0.606402,-0.000751
0.775427,-0.001037
1.087283,-0.001072
1.521376,-0.000874
2.023678,-0.000246
2.615473,-0.000392
3.208582,-0.001018
3.793244,-0.000353
4.314416,-0.000986
4.756308,0.000616
5.074859,-0.000391
5.252526,-0.000718
5.289083,-0.001490
5.172789,-0.001744
4.912443,-0.000390
4.524384,-0.001109
4.033940,-0.001599
3.480877,0.000169
2.885869,0.000108
2.305193,-0.001415
1.730855,0.000376
1.261253,-0.001998
0.897745,-0.000781
0.658880,-0.001074
0.572375,0.000767
0.638141,0.000597
0.852717,0.000430
1.197031,-0.000944
1.661672,-0.000586
2.213723,-0.001608
2.803822,-0.000833
3.394241,-0.001618
3.960027,-0.000540
4.463244,0.000952
4.864758,0.001545
5.147903,0.000611
5.283092,0.001782
5.265242,0.002235
5.096942,0.000912
4.783157,0.003311
4.367789,0.001119
3.839651,0.000212
3.261013,0.000432
2.663127,0.001886
2.080003,0.001016
1.554864,0.002848
1.113263,0.002483
0.790906,0.001998
0.611512,0.002498
0.577740,0.002003
0.695286,0.002100
0.954880,0.001065
1.345118,0.000010
1.832695,0.000572
2.389685,-0.000954
2.993764,-0.001642
3.576326,-0.001675
4.137998,-0.000225
4.617492,-0.000551
4.981001,-0.000310
5.215964,-0.000141
5.293932,-0.000426
5.216232,0.000974
4.989521,0.001431
4.625486,0.000709
4.147594,0.001096
3.575980,0.000231
2.968453,-0.000085
2.367108,0.000049
1.797848,0.001358
1.300654,0.000922
0.915800,-0.000306
0.666361,0.000061
0.572617,0.000632
0.641436,0.000773
0.867356,0.001430
1.242683,0.001574
1.732917,0.000417
2.306530,0.000337
2.924671,0.000950
3.546252,-0.000028
4.129882,0.000138
4.618291,0.000596
4.986363,0.000316
5.220013,0.001678
5.292584,0.001113
5.197878,-0.000166
4.946875,0.000771
4.543129,0.000384
4.029193,-0.001005
3.436909,-0.002196
2.819330,-0.000973
2.205622,-0.000830
1.647031,-0.000688
1.170182,-0.001245
0.809893,-0.002107
0.616044,-0.001968
0.578907,-0.001201
0.711204,-0.000705
1.003719,0.000600
1.433228,0.002022
1.962120,0.001124
2.559354,0.001865
3.165687,0.000680
3.782414,0.000774
4.336482,0.000159
4.791690,0.000447
5.113466,0.001023
5.274965,0.001105
5.268491,0.000739
5.087476,0.002180
4.757871,-0.000059
4.292267,-0.000624
3.727327,0.001120
3.104200,0.001732
2.473475,0.001056
1.865736,0.001396
1.349180,-0.000636
0.935845,-0.000600
0.669454,-0.000936
0.573025,-0.001712
0.651980,-0.001645
0.896345,-0.001805
1.295474,-0.002618
1.810548,-0.000792
2.418679,-0.001679
3.056306,0.000253
3.685662,-0.000451
4.269769,0.000967
4.747292,0.000085
5.088591,0.000394
5.270029,-0.000102
5.271177,-0.001066
5.097581,-0.001387
4.763995,-0.002242
4.291752,-0.003221
3.724933,-0.001675
3.093508,-0.000582
2.453240,0.000618
1.840152,0.001460
1.322260,0.000246
0.918253,-0.000772
0.657630,-0.001219
0.573041,0.000331
0.665038,0.001829
0.919129,0.000994
1.324365,0.000328
1.838534,0.002002
2.439940,0.000727
3.070004,0.001642
3.700684,0.001544
4.272144,0.001193
4.744037,0.001030
5.082917,0.001419
5.263910,0.000047
5.277190,0.000635
5.118543,0.001922
4.794633,0.000473
4.339247,0.000431
3.792455,-0.000752
3.173658,-0.002122
2.532960,-0.001156
1.916594,-0.000444
1.365810,-0.002822
0.948614,-0.001126
0.678822,-0.001660
0.573440,0.000615
0.641283,-0.000476
0.877598,0.001494
1.266553,-0.000401
1.792250,0.000661
2.385168,-0.000667
3.023554,-0.001363
3.659803,-0.001166
4.246654,-0.000628
4.728958,-0.000058
5.081955,-0.000188
5.267761,-0.000987
5.274146,0.000331
5.105932,0.001565
4.778518,-0.000622
4.301094,-0.000358
3.730298,-0.001298
3.097078,-0.000029
2.452095,-0.000092
1.841611,-0.002047
1.312712,0.001004
0.910927,-0.000178
0.654369,0.001127
0.573342,0.000955
0.668400,0.002113
0.929298,0.001323
1.344849,0.000378
1.875487,0.000672
2.486969,0.000252
3.130771,-0.000937
3.761883,0.000598
4.329528,-0.000196
4.783802,0.000431
5.112505,0.000056
5.276999,-0.001149
5.264514,0.000733
5.080058,-0.000084
4.738780,-0.000820
4.260557,-0.000057
3.696336,0.000941
3.062763,0.001679
2.423799,0.000174
1.818625,0.000713
1.295825,0.001196
0.895215,-0.000800
0.645262,-0.000231
0.573457,-0.001640
0.681937,-0.000204
0.953452,0.000879
1.384621,-0.001007
1.918608,0.001603
2.552860,0.002140
3.210495,0.002180
3.829892,0.003447
4.399618,0.002075
4.851004,0.002308
5.155504,0.001630
5.288645,0.000537
5.239185,0.001071
5.008110,0.000682
4.617635,0.001347
4.104896,0.000826
3.500412,0.000572
2.851810,0.000909
2.191410,0.002232
1.612554,0.001526
1.114029,0.002246
0.768262,0.001514
0.591500,0.000807
0.599867,-0.000349
0.783940,-0.000276
1.140312,0.000325
1.619217,-0.001235
2.217781,-0.001360
2.853637,0.001152
3.505580,0.000135
4.109202,0.000994
4.623730,0.000232
5.017306,-0.000336
5.236432,-0.000937
5.289071,0.000503
5.166430,0.001172
4.879587,0.000333
4.441879,-0.000957
3.892273,-0.002292
3.273335,0.000021
2.627846,-0.001841
1.994371,-0.000857
1.453555,-0.000645
1.002588,-0.000340
0.707520,-0.000167
0.575235,-0.000434
0.630209,-0.000749
0.852485,-0.001169
1.237142,-0.000085
1.744207,-0.000921
2.340276,0.001487
2.991909,-0.000321
3.634147,0.000858
4.225708,0.000315
4.705729,-0.000235
5.073534,0.000184
5.262218,-0.000371
5.275745,0.001174
5.103481,0.000235
4.761543,0.000214
4.272330,0.001173
3.707679,-0.000622
3.045566,0.000007
2.405419,0.000545
1.785143,-0.000024
1.260005,-0.000187
0.868652,-0.000191
0.631727,0.000246
0.575314,-0.000654
0.706289,0.000388
1.005794,0.000340
1.451567,0.001601
2.017118,0.000060
2.644020,-0.001011
3.300841,-0.000988
3.918258,-0.001142
4.469042,-0.001885
4.891916,-0.001385
5.175880,-0.000130
5.291408,-0.002313
5.230989,-0.002336
4.993113,-0.001714
4.607964,-0.000978
4.088063,-0.002462
3.497375,-0.000893
2.852268,0.000862
2.222033,0.000715
1.642998,0.000045
1.158332,0.000156
0.809704,0.000049
0.608083,-0.001450
0.583058,-0.001749
0.733105,-0.001962
1.045944,-0.000426
1.495804,-0.000286
2.056424,-0.002538
2.678305,-0.002005
3.330307,-0.000650
3.948244,-0.000269
4.483322,0.001060
4.917741,0.001777
5.189682,0.000423
5.293284,-0.000295
5.221541,0.002077
4.972347,0.000913
4.567598,0.001415
4.040454,0.000826
3.426503,-0.000427
2.776401,0.000348
2.136894,0.000730
1.574055,0.001344
1.089587,0.001003
0.755914,0.001589
0.590311,0.001434
0.599161,0.000325
0.782835,0.000669
1.134207,0.000452
1.601344,-0.001004
2.180845,0.000404
2.803666,0.000328
3.453345,-0.000484
4.059609,0.001849
4.576884,0.001937
4.974024,0.000843
5.216185,0.001298
5.293537,0.001738
5.198390,0.000440
4.937795,0.001460
4.526778,0.001526
4.007866,0.001336
3.409763,0.000075
2.779862,0.002484
2.159747,0.000621
1.605060,0.000286
1.148755,-0.000825
0.802417,0.000590
0.610918,0.001176
0.580048,0.000539
0.710260,0.001500
1.003971,-0.000142
1.424266,-0.001013
1.958634,0.000161
2.566871,-0.000747
3.196458,-0.000379
3.794218,-0.000804
4.333700,-0.002590
4.777797,-0.001344
5.098016,-0.001512
5.269884,0.000220
5.278378,-0.000743
5.119995,-0.000947
4.810772,-0.001000
4.380726,0.000034
3.847979,0.001594
3.261065,0.000348
2.635105,-0.001900
2.034752,-0.000296
1.489786,-0.000554
1.053305,-0.000339
0.751135,-0.000588
0.591325,0.000197
0.593332,0.001754
0.756068,0.002229
1.071747,0.003170
1.515951,0.002245
2.052103,0.002341
2.644825,0.001428
3.253062,0.001924
3.843865,-0.000715
4.379083,0.000648
4.802926,0.000761
5.105323,-0.000093
5.271119,0.000410
5.279308,-0.000114
5.131518,0.000054
4.842524,0.001780
4.423601,0.001322
3.912098,0.001452
3.341311,0.000663
2.733701,0.000382
2.145221,0.000286
1.604605,0.001523
1.152880,-0.000998
0.819367,-0.000271
0.620212,0.000468
0.575027,0.000345
0.681365,0.000304
0.934715,0.001469
1.317728,0.002326
1.796648,0.001324
2.350230,-0.000505
2.938602,0.001115
3.530224,0.000722
4.090032,-0.000034
4.575704,-0.000983
4.946856,-0.000334
5.188646,0.000263
5.293510,-0.000064
5.244968,-0.000414
5.045967,0.000607
4.709196,0.000520
4.252954,0.001615
3.717412,0.001407
3.124488,0.001764
2.531510,0.001645
1.955839,0.000950
1.450737,0.001584
1.037517,0.000207
0.743333,0.001050
0.589698,-0.000277
0.592238,-0.000105
0.748421,-0.000104
1.045863,0.001044
1.463737,0.000102
1.988286,-0.000252
2.579839,0.001296
3.185720,0.002351
3.775053,0.000637
4.305098,0.002036
4.745779,0.001156
5.076193,0.000448
5.257784,0.000160
5.287218,0.000642
5.157434,-0.000340
4.887968,0.000095
4.483917,-0.000399
3.984707,0.000952
3.421860,0.001601
2.820606,0.001789
2.222886,0.001629
1.668728,0.000302
1.202672,0.001061
0.850530,-0.000182
0.636512,0.001072
0.571780,0.001523
0.666528,0.002291
0.914894,0.000338
1.303825,-0.000683
1.799712,0.000129
2.359599,0.000153
2.972384,-0.000684
3.576810,-0.000260
4.145306,0.001127
4.623906,-0.000335
4.990222,0.000452
5.224185,0.000159
5.294006,0.001201
5.205605,0.001616
4.959320,0.000029
4.579408,0.002119
4.080934,0.000423
3.504405,0.000854
2.886101,0.001764
2.260104,0.000447
1.689644,0.000876
1.204619,0.000174
0.841474,0.000051
0.626956,0.000341
0.574429,0.001044
0.690750,0.000516
0.959410,0.000018
1.368747,-0.000467
1.893753,0.001585
2.495126,-0.000305
3.124261,-0.000407
3.743336,-0.000201
4.300098,0.000908
4.757591,-0.000061
5.084232,-0.001521
5.265909,-0.000148
5.280950,-0.000818
5.129721,-0.001142
4.829809,0.000221
4.386530,-0.002393
3.844593,-0.000561
3.226394,-0.001094
2.594603,-0.001327
1.990518,-0.001345
1.450406,-0.001075
1.015980,0.000531
0.717468,0.000437
0.580060,0.000804
0.610592,0.000491
0.805348,0.001140
1.150898,-0.000222
1.617720,-0.001180
2.186304,0.000169
2.803844,-0.000561
3.431561,0.000444
4.027103,-0.000297
4.543046,-0.001141
4.947761,-0.000101
5.206484,0.000651
5.295212,-0.000733
5.214321,-0.000622
4.969643,-0.000831
4.566098,-0.000957
4.057646,0.000069
3.466025,0.000833
2.829581,-0.001267
2.210129,0.000872
1.641221,0.001080
1.159521,-0.000945
0.808548,0.000012
0.607441,0.000522
0.581773,0.001929
0.725075,0.001402
1.024040,0.000604
1.460081,-0.000957
2.000493,0.001039
2.607207,0.001378
3.251871,-0.000151
3.866092,-0.001103
4.414498,-0.000699
4.845849,-0.000785
5.146525,-0.000591
5.285707,-0.000507
5.258793,0.000549
5.061070,0.000868
4.715385,0.001043
4.240779,-0.000035
3.684185,0.000177
3.051482,-0.001602
2.431152,-0.001166
1.829672,-0.001364
1.319244,-0.001180
0.921183,-0.000448
0.664711,-0.000851
0.572249,-0.000058
0.646156,-0.000308
