Reference detector [V],Primary detector [V]
0.615272,-0.001806
0.824823,-0.000110
1.179932,-0.000601
1.652725,0.000276
2.241990,0.000393
2.863086,-0.000138
3.481637,-0.000410
4.061817,0.000999
4.567455,0.000344
4.960422,0.000265
5.210588,0.000460
5.302137,0.000760
5.232007,0.000017
5.001812,0.000571
4.628940,-0.000764
4.141799,-0.000759
3.567222,-0.001311
2.948966,-0.000727
2.334240,0.000192
1.752996,-0.000333
1.261440,0.000462
0.894578,0.000893
0.653787,-0.000208
0.570110,0.000147
0.649555,-0.000429
0.886239,-0.000728
1.263973,-0.001000
1.748959,-0.000719
2.309182,0.001170
2.906283,0.000167
3.529166,0.000246
4.094529,-0.000097
4.595710,0.000384
4.973273,0.001687
5.214949,0.002351
5.299550,0.002524
5.231399,0.001473
5.006500,0.000455
4.631869,0.001883
4.151144,0.000328
3.583506,0.001663
2.969658,0.000577
2.359365,0.000101
1.782132,0.001394
1.276611,0.000453
0.898996,0.001254
0.656260,0.001365
0.570418,0.001442
0.644724,0.000076
0.867873,0.000536
1.229931,0.000366
1.717549,0.000381
2.272120,-0.000600
2.889453,0.000214
3.512449,-0.000241
4.082819,-0.001741
4.573699,-0.000563
4.961577,-0.000822
5.210005,-0.000381
5.300520,-0.001337
5.230974,-0.001145
5.007488,-0.000098
4.651820,-0.001493
4.170671,-0.000510
3.617849,-0.001309
3.007212,-0.001442
2.398919,-0.000268
1.823935,-0.002137
1.324318,-0.002180
0.925206,0.000736
0.674560,0.000738
0.573167,-0.000498
0.627916,0.001798
0.837914,0.002209
1.188658,0.000140
1.649955,0.000263
2.202634,0.000788
2.822327,0.000695
3.429070,0.000263
4.023738,-0.000335
4.528559,-0.000470
4.927640,-0.000637
5.194784,0.001083
5.300733,0.001090
5.243066,-0.001817
5.036505,-0.000921
4.679200,0.000282
4.206234,-0.000159
3.636515,-0.000500
3.013554,-0.000765
2.393795,-0.000432
1.815696,-0.000533
1.313109,-0.002143
0.906635,-0.001626
0.657138,-0.001851
0.570747,-0.000889
0.647710,-0.001062
0.893682,-0.000857
1.278107,0.000153
1.775474,-0.002267
2.367878,-0.000315
2.997337,-0.000186
3.618960,-0.000296
4.190867,0.001855
4.683972,0.000577
5.043226,-0.000523
5.249650,-0.000846
5.296589,0.000627
5.171351,-0.000496
4.892954,-0.001448
4.475548,0.000575
3.939547,0.002073
3.332551,0.003565
2.701567,0.001926
2.079906,0.002501
1.521627,0.000451
1.071311,0.000144
0.748065,0.000751
0.588327,0.000667
0.595990,0.001623
0.769594,0.000456
1.103900,0.000881
1.561847,-0.000696
2.128926,0.001081
2.746443,0.000632
3.379451,0.001238
3.982993,0.000912
4.516915,-0.000548
4.929390,0.000175
5.197504,-0.000590
5.300542,0.000818
5.232280,-0.000440
4.993071,0.001083
4.611307,0.000237
4.100316,-0.000436
3.493643,-0.000340
2.852218,0.001702
2.225206,0.000590
1.631149,0.003426
1.145968,0.002526
0.790333,0.001671
0.602331,0.002925
0.585503,0.001442
0.745103,0.002200
1.061634,0.002434
1.518738,0.001869
2.082452,-0.001439
2.709805,0.000884
3.355129,0.001267
3.969847,0.001432
4.507683,0.001682
4.923283,0.002258
5.193056,0.000509
5.300717,0.000018
5.231466,0.000402
4.993576,-0.000211
4.610343,-0.001531
4.097208,-0.000904
3.494864,-0.000244
2.844115,0.000711
2.205366,0.000136
1.636796,-0.001102
1.151155,-0.000072
0.796880,0.001603
0.604159,0.000942
0.583774,0.001352
0.737753,0.001834
1.042713,0.002054
1.495792,0.002200
2.053166,0.000621
2.669614,0.000321
3.302096,0.000100
3.907279,0.000020
4.444022,-0.000577
4.880844,-0.000644
5.170956,-0.000977
5.294865,-0.000310
5.253574,-0.000390
5.044326,-0.000025
4.672816,0.000088
4.176837,-0.000354
3.598625,-0.000439
2.956701,-0.002256
2.318023,-0.001546
1.729198,-0.000542
1.226518,-0.001548
0.854571,-0.000461
0.628388,-0.000828
0.575369,-0.001110
0.698088,-0.001384
0.984294,-0.000127
1.411725,0.001015
1.945677,0.000382
2.555720,-0.001290
3.216305,0.001234
3.845601,-0.000510
4.396957,-0.002066
4.844683,-0.000587
5.150968,0.000159
5.292444,-0.001797
5.260431,-0.000858
5.057650,-0.000611
4.691101,-0.000366
4.193119,0.000401
3.595592,0.001707
2.960752,0.000489
2.316064,0.000132
1.720544,-0.000088
1.209885,-0.000169
0.839516,0.000003
0.621657,0.000615
0.576238,0.000880
0.706402,-0.000496
1.003782,0.000086
1.437615,0.000630
1.994891,-0.001428
2.609138,-0.000472
3.257317,0.000809
3.888108,0.000187
4.439442,-0.001224
4.871902,0.001119
5.167060,-0.000006
5.295519,-0.000622
5.253807,0.000531
5.039144,-0.000176
4.671273,0.000219
4.168341,-0.000751
3.568805,-0.000637
2.919233,-0.001246
2.274487,0.001343
1.685268,0.001151
1.195431,0.000725
0.826186,-0.000418
0.615033,-0.001415
0.578561,0.000993
0.719348,-0.002247
1.028050,0.000482
1.480489,-0.000494
2.040618,-0.000498
2.662168,0.000121
3.317240,0.000435
3.945440,0.000369
4.494827,-0.001195
4.922895,0.001779
5.195328,-0.000034
5.301575,-0.000762
5.227375,-0.000494
4.975392,-0.000771
4.571983,-0.000108
4.038312,-0.001304
3.426862,-0.000152
2.785979,-0.000059
2.148156,-0.000756
1.568570,0.000988
1.096502,0.001237
0.761783,-0.000035
0.590408,0.001959
0.596673,0.001537
0.780231,0.001209
1.136086,0.000588
1.622065,0.001269
2.203891,0.000582
2.838687,-0.000083
3.480035,0.000141
4.081600,0.000232
4.598044,-0.000490
4.988796,0.001189
5.230093,0.000861
5.301034,-0.000351
5.195951,0.001955
4.928839,-0.000498
4.512696,-0.000183
3.979307,0.003013
3.356830,0.000532
2.717277,0.000976
2.087479,0.001716
1.518948,0.001113
1.055391,0.001094
0.737229,0.001015
0.582854,0.001267
0.606697,0.001537
0.804675,0.000635
1.154644,0.000799
1.627636,0.001074
2.223397,0.000416
2.850536,0.001685
3.500196,-0.000176
4.094664,0.000382
4.614117,0.000921
5.006209,-0.000801
5.236866,-0.000268
5.299615,-0.000494
5.186248,-0.000519
4.905766,-0.000801
4.462979,-0.001116
3.928510,-0.002389
3.294704,-0.001182
2.644865,-0.001135
2.015486,-0.002354
1.461189,-0.003138
1.016373,-0.001296
0.709137,-0.002436
0.577390,-0.000881
0.619555,-0.000595
0.837397,-0.000642
1.208228,-0.000923
1.704264,-0.001386
2.307471,-0.000707
2.945604,-0.000879
3.572026,-0.000736
4.167782,0.000217
4.660573,0.000780
5.038354,-0.000268
5.253393,-0.000575
5.297065,-0.000836
5.163797,-0.001367
4.864306,-0.000483
4.421358,-0.000287
3.865297,0.000381
3.242831,0.000487
2.591740,0.000162
1.949776,0.001789
1.404711,-0.000464
0.976593,0.000982
0.690141,0.001339
0.573009,0.000844
0.632683,0.000034
0.864802,0.000722
1.249427,0.000297
1.778298,0.001795
2.380371,-0.000088
3.027905,0.001591
3.661525,0.001374
4.251364,0.002692
4.730393,0.002567
5.079901,0.003159
5.271609,0.002164
5.286412,0.001423
5.111574,0.000611
4.779640,0.000922
4.307037,0.001871
3.722111,0.001565
3.092408,0.001692
2.440164,0.002233
