Reference detector [V],Primary detector [V]
4.920768,-0.002328
4.427309,-0.000429
3.779971,-0.000523
3.054151,-0.000754
2.322004,-0.000487
1.646936,0.000606
1.107998,-0.000206
0.741196,-0.000421
0.588485,0.001433
0.674936,-0.000421
0.991674,0.001146
1.497399,-0.000468
2.148235,0.001176
2.871134,0.000041
3.607248,0.000685
4.284731,0.000029
4.813829,0.000973
5.158235,0.001054
5.277225,0.001048
5.168002,0.000811
4.836117,-0.000939
4.319283,-0.000572
3.648118,-0.001134
2.907030,-0.001751
2.173843,-0.002327
1.523587,-0.001516
1.009893,-0.001768
0.684933,-0.000957
0.588990,-0.000325
0.725203,-0.000558
1.087816,-0.000317
1.631604,-0.000881
2.305002,-0.000840
3.036557,-0.000465
3.754519,-0.000910
4.405365,-0.001681
4.896074,-0.000858
5.195340,-0.000728
5.273584,-0.000674
5.118574,-0.001732
4.750953,0.000392
4.200946,-0.000720
3.539017,0.002880
2.808779,0.002133
2.081109,0.001622
1.446084,0.002109
0.950413,0.000470
0.660312,-0.000059
0.591300,-0.000960
0.748025,-0.000437
1.124833,0.000627
1.672568,-0.000415
2.341622,-0.001953
3.086157,-0.000768
3.805518,0.000249
4.438259,0.000279
4.932035,0.000688
5.210825,0.000811
5.270527,0.000937
5.093907,0.000151
4.702734,-0.001917
4.131497,-0.001340
3.446998,-0.002275
2.702467,-0.002250
1.974593,0.000370
1.351686,-0.001587
0.889118,-0.002202
0.631587,-0.001509
0.603707,-0.000148
0.804886,-0.000614
1.230573,-0.000201
1.814607,0.000497
2.516954,-0.000691
3.269364,-0.000025
3.983329,-0.000882
4.583891,-0.001228
5.022874,-0.001347
5.250989,-0.002108
5.243540,-0.000810
5.006665,0.000360
4.563316,-0.000706
3.945085,0.000201
3.235651,0.000125
2.481943,0.000042
1.788785,-0.000778
1.191501,-0.002785
0.782623,-0.001150
0.596924,-0.000478
0.652821,-0.001015
0.943515,-0.000983
1.434723,-0.002353
2.063128,-0.000553
2.804143,-0.001568
3.547660,-0.001561
4.222508,-0.001888
4.770349,0.000200
5.131784,-0.000483
5.275989,0.000666
5.185452,0.000061
4.875922,-0.000618
4.368930,-0.001346
3.721004,0.000019
2.990335,-0.001621
2.247667,0.000145
1.574672,-0.000131
1.043790,0.001755
0.701842,-0.000381
0.587788,0.001174
