Reference detector [V],Primary detector [V]
2.051166,0.000162
1.431900,-0.000984
0.946225,-0.000979
0.658520,-0.000666
0.588947,0.001000
0.752361,-0.000706
1.133561,0.001166
1.687707,0.000741
2.362072,-0.000167
3.095590,0.000354
3.817771,-0.000233
4.457641,0.000228
4.939980,-0.000092
5.219421,-0.000212
5.275400,-0.001155
5.099050,-0.000515
4.702936,-0.000807
4.127635,-0.001919
3.438611,0.000048
2.703339,-0.002232
1.985847,0.000303
1.364813,0.000836
0.897368,0.002897
0.635135,0.000059
0.598294,-0.000822
0.792810,-0.001788
1.198761,-0.002245
1.781681,-0.003971
2.470962,-0.002916
3.210169,-0.001976
3.922807,-0.001769
4.541378,-0.002375
4.998257,-0.000382
5.244501,0.000275
5.263938,0.000032
5.053743,0.000226
4.636390,0.000465
4.044231,0.000878
3.340371,-0.000100
2.601704,-0.003373
1.902989,-0.001965
1.298583,-0.001556
0.857664,0.000239
0.617492,-0.000107
0.608471,-0.000475
0.826920,-0.000808
1.244952,-0.000115
1.831207,-0.000086
2.517620,-0.000864
3.252109,0.000855
3.956017,0.001362
4.563983,-0.000367
5.005493,-0.000634
5.245348,-0.001097
5.265669,-0.001725
5.060624,-0.002121
4.645610,-0.001426
4.071623,-0.001388
3.395928,0.000063
2.676718,0.000262
1.982814,-0.000430
1.382792,-0.000821
0.923488,0.000050
0.648027,-0.000181
0.589890,-0.000400
0.757324,-0.000658
1.130917,-0.001488
1.681667,-0.001859
2.363667,-0.002006
3.088635,-0.000664
3.804582,-0.001517
4.438383,-0.000952
4.916434,-0.000168
5.209754,0.000486
5.280431,0.000484
5.120136,-0.000331
4.749205,-0.000694
4.193892,-0.000756
3.526687,-0.001108
2.792683,-0.001108
2.078912,-0.001221
1.440210,-0.001334
0.951328,-0.001466
0.658556,-0.001637
0.588297,-0.002542
0.750401,0.000100
1.130841,0.000455
1.680529,0.001816
2.362497,0.001666
3.079372,0.000276
3.814142,-0.000427
4.433522,0.000916
4.923843,0.000155
5.211078,-0.000595
5.281466,-0.001022
5.121729,-0.001310
4.749187,-0.001757
4.195254,-0.000729
3.531312,0.001193
2.814315,0.002425
2.100797,-0.000205
1.466675,-0.000054
0.970940,-0.001137
0.664093,-0.000176
0.587240,-0.000778
0.738465,-0.001823
1.095075,-0.000388
1.646001,-0.000892
2.306939,-0.001687
3.038941,-0.001592
3.761064,-0.001865
4.400609,-0.001674
4.903009,-0.000985
5.202931,-0.000663
5.282058,-0.001361
5.128073,-0.001055
4.757823,-0.000667
4.210544,-0.000633
3.539125,0.000204
2.811821,-0.000853
2.077717,-0.000960
1.446958,-0.001452
0.955650,0.000142
0.661530,-0.001076
0.589782,0.000279
0.746411,-0.001275
1.123795,-0.000471
