Reference detector [V],Primary detector [V]
2.962243,-0.000652
2.226010,-0.000079
1.564036,0.000260
1.027884,0.000475
0.690694,0.001040
0.577704,-0.000450
0.703414,-0.001104
1.055900,-0.000596
1.587966,0.000077
2.256569,-0.001105
2.993911,-0.001439
3.717064,-0.002069
4.383918,-0.001758
4.887807,-0.000744
5.196784,0.000755
5.281528,0.000623
5.127348,0.001390
4.755263,0.001361
4.199709,0.002346
3.508106,0.000396
2.768017,0.000758
2.052608,-0.000355
1.425134,-0.001144
0.937568,0.000019
0.649534,0.000003
0.584841,-0.001050
0.746271,-0.000896
1.122406,-0.002737
1.679137,-0.000769
2.349972,0.000810
3.080105,0.000430
3.799467,0.001059
4.427361,-0.000014
4.921392,-0.001529
5.214081,0.000611
5.281034,0.000369
5.121586,-0.000985
4.753170,0.000233
4.211610,-0.000254
3.558116,-0.001143
2.828278,-0.000173
2.110280,0.000469
1.473689,0.000844
0.977733,-0.000367
0.665309,0.000252
0.581612,-0.000009
0.726204,-0.000418
1.075390,-0.000777
1.612628,-0.001163
2.279279,-0.000390
3.012720,-0.000018
3.733794,0.001857
4.379947,0.001321
4.875828,0.001969
5.188110,0.001808
5.283918,0.000857
5.148293,0.001712
4.796385,-0.000596
4.262056,-0.001991
3.601638,0.000182
2.874886,-0.000307
2.149333,-0.001791
1.503660,-0.000212
0.991365,-0.000926
0.671750,-0.000771
0.580565,-0.001454
0.721398,-0.001186
1.081020,0.000680
1.619536,-0.001063
2.292349,-0.000711
3.020461,0.000672
3.738917,-0.000252
4.380570,-0.001803
4.888959,0.000326
5.194808,-0.000293
5.283563,-0.000897
5.138939,-0.001183
4.781499,-0.000298
4.239651,-0.000861
3.563409,0.001023
2.838248,0.000551
2.107421,0.000430
1.462592,0.000204
0.962280,0.000105
0.657028,0.000254
0.582940,-0.000893
0.735680,-0.001441
1.106566,-0.000739
1.646641,-0.001515
2.324716,0.000405
3.066933,0.000069
3.787042,0.000561
4.427358,0.000231
4.920832,-0.000869
5.213866,-0.001194
5.278637,-0.000554
5.107940,-0.000215
4.714795,-0.000922
4.144764,-0.002782
3.463314,-0.001944
2.703495,-0.000604
1.977867,-0.001769
1.343707,-0.001120
0.880252,-0.001142
0.621770,-0.001308
0.599425,0.000191
0.821447,-0.000485
1.262051,0.001384
1.860618,0.000913
2.572430,0.000855
3.325254,0.000691
4.036772,0.000306
4.636877,0.000071
5.057021,-0.001272
5.267047,-0.001592
5.238701,-0.000197
4.976351,0.000225
4.509062,-0.000405
3.883132,0.000407
3.153786,-0.000020
2.400713,0.001227
1.709087,0.001564
1.137967,0.000706
0.749446,0.000081
0.586186,0.000030
0.654741,0.000631
0.947927,-0.000323
1.438951,-0.000897
2.080209,-0.001024
2.795130,0.000011
3.535977,-0.000859
4.208309,0.000189
4.763230,-0.000252
5.133888,-0.000999
5.282967,-0.001692
5.199754,-0.000687
4.900207,-0.000777
4.406885,-0.001271
3.759884,-0.002611
3.043103,-0.001984
2.323697,-0.001070
1.646212,0.000682
1.101530,-0.001843
0.735152,-0.000984
0.582312,0.000569
0.655837,-0.000127
0.945813,-0.000376
1.439318,0.000424
2.058944,0.000359
2.759768,-0.000555
3.481613,-0.001000
4.154900,-0.000584
4.701878,-0.001980
5.088542,-0.001009
5.272278,-0.000925
5.241535,-0.001758
4.997506,0.000521
4.558014,-0.000080
3.971376,0.000627
3.294949,0.000898
2.581199,-0.000300
1.898053,0.000648
1.306436,-0.000202
0.876152,-0.000130
0.628751,-0.000711
0.589563,-0.001106
0.758455,-0.002730
1.124670,-0.001764
1.643970,-0.002155
2.276387,-0.000782
2.976579,-0.002246
3.660459,0.000098
4.290359,-0.000864
4.794152,-0.001647
5.133073,-0.001170
5.281675,-0.001711
5.228201,-0.001011
4.971913,-0.000498
4.551971,-0.001212
3.983225,-0.003114
3.324510,-0.001491
2.641309,-0.000930
1.985911,-0.001537
1.408150,-0.000880
0.955775,0.000176
0.670987,0.000834
0.577193,0.000076
0.678417,-0.000059
0.966671,0.000860
1.418721,0.000321
1.984554,0.000021
2.648874,-0.000565
3.320107,-0.000213
3.949228,-0.001925
4.509813,-0.000872
4.942552,0.001001
5.206530,-0.000430
5.286408,0.000827
5.176555,0.000437
4.885993,-0.000139
4.441232,0.000682
3.875106,0.000648
3.227155,-0.000647
2.556763,-0.001893
1.911385,-0.001125
1.349574,-0.000322
0.930067,-0.000857
0.664317,-0.001669
0.576987,-0.001950
0.674272,-0.001174
0.942123,-0.000242
1.371865,-0.001919
1.928688,-0.001633
2.554646,-0.001391
3.203428,0.000844
3.850309,0.000106
4.410927,-0.000610
4.865388,-0.000236
5.157259,-0.001645
5.283505,0.000188
5.228471,-0.000503
5.002808,0.000525
4.618858,0.000605
4.100267,-0.000102
3.499095,-0.000189
2.861089,0.000682
2.210889,0.001782
1.625452,0.000078
1.142538,0.001540
0.797542,-0.000158
0.607775,-0.000930
0.593981,-0.001183
0.755668,-0.000493
1.074065,0.000071
1.535250,-0.000827
2.095879,-0.000578
2.719321,-0.001407
3.359452,0.000591
3.969403,0.000558
4.491262,0.001156
4.914836,0.000100
5.183473,-0.000473
5.287330,-0.001059
5.218425,-0.000257
4.980784,-0.000435
4.596988,-0.000075
4.080584,-0.000215
3.482669,0.001191
2.859051,-0.000073
2.232687,0.000018
1.654381,-0.000330
1.162773,0.001106
0.811996,-0.000763
0.614424,0.000314
0.586619,-0.000315
0.730476,-0.001662
1.041148,-0.002096
1.486787,-0.000086
2.041813,-0.002899
2.662477,-0.001584
3.278920,-0.001785
3.883559,-0.000506
4.434055,0.000168
4.863205,0.000779
5.150962,0.002233
5.284132,0.001069
5.238174,-0.000021
5.025047,0.001035
4.669152,-0.001023
4.187876,0.000328
3.620808,-0.001078
3.014024,-0.000764
2.373255,0.001234
1.788857,0.000064
1.291847,-0.000566
0.897744,0.000948
0.656048,0.001784
0.576868,0.000944
0.664912,-0.000300
0.910826,-0.001528
1.295166,-0.000461
1.798558,0.000377
2.392224,0.000219
3.019891,0.000032
3.639288,-0.000580
4.207730,-0.000068
4.684060,0.000194
5.034710,-0.000118
5.236551,-0.000239
5.283598,0.000625
5.169055,-0.000316
4.886965,0.000216
4.475574,0.000231
3.943218,-0.000669
3.353013,-0.001105
2.730231,-0.001011
2.111982,0.000514
1.556495,-0.001265
1.096627,-0.000985
0.769122,-0.001666
0.599413,0.000240
0.595945,0.000339
0.757725,0.001835
1.081881,0.001289
1.534476,0.002383
2.089023,-0.000540
2.706461,0.000047
3.332113,-0.001791
3.929092,-0.002818
4.459249,-0.001257
4.880384,-0.000396
5.161416,-0.002703
5.283481,-0.002008
5.238840,-0.001483
5.028673,-0.001626
4.674405,-0.001301
4.187244,-0.000516
3.623756,-0.001245
3.010938,-0.001924
2.382711,-0.000936
1.803816,-0.002634
1.286971,-0.003558
0.896635,-0.001724
0.653546,-0.001082
0.576403,-0.001514
0.664847,-0.002793
0.919887,-0.001405
1.318344,-0.001372
1.822939,-0.001649
2.412887,-0.001281
3.050358,-0.000071
3.675696,-0.000801
4.251772,-0.001932
4.717516,-0.001422
5.064489,-0.001084
5.253342,-0.002716
5.276546,-0.002963
5.129855,-0.001920
4.824528,-0.000973
4.386075,-0.001409
3.839726,-0.001202
3.222538,-0.000368
2.593796,0.000155
1.986497,0.000771
1.430871,-0.000761
1.006757,-0.000791
0.713772,0.000794
0.583344,-0.000349
0.623318,-0.000720
0.831888,-0.001066
1.189305,-0.000931
1.687367,-0.001375
2.271547,0.000505
2.885561,-0.001407
3.513280,0.000828
4.112744,-0.001179
4.607443,0.000687
4.979332,-0.000345
5.220293,0.001453
5.287546,-0.000396
5.181244,-0.001004
4.917654,-0.000465
4.513255,0.000598
3.988900,-0.000356
3.396625,0.000375
2.770097,-0.000194
2.142226,-0.000001
1.579711,0.001197
1.108343,0.000433
0.778447,0.000945
0.602177,-0.000341
0.595388,0.002057
0.755662,0.001380
1.070519,-0.000225
1.521863,0.000234
2.063500,-0.000386
2.674993,-0.000111
3.321159,-0.000633
3.913425,0.001401
4.463869,-0.000141
4.883341,-0.000434
5.163684,0.000095
5.285920,0.000400
5.232657,-0.001246
5.014241,-0.000709
4.644104,-0.000676
4.147295,0.000425
3.565564,-0.001161
2.945220,-0.001531
2.323379,-0.001843
1.741405,-0.002060
1.242517,-0.001228
0.874575,-0.001748
0.644388,-0.002584
0.576703,-0.003191
0.680380,-0.001663
0.946484,-0.002142
1.351486,-0.002106
1.877706,-0.001203
2.452931,-0.001902
3.095474,-0.002221
3.709752,-0.001172
4.266858,-0.001749
4.723463,-0.001021
5.063729,-0.000746
5.254509,-0.000842
5.276023,-0.000804
5.136106,-0.000396
4.842875,0.001354
4.407619,0.001005
3.865355,-0.000612
3.252769,-0.000103
2.629114,0.001055
2.031302,0.000499
1.496195,-0.000301
1.057401,0.000045
0.744806,0.000940
0.590944,0.000461
0.601857,-0.000719
0.783939,-0.000483
1.110881,-0.000148
1.576250,0.002301
2.132344,0.000223
2.732735,0.001543
3.367953,-0.000408
3.966077,-0.000900
4.491274,-0.000704
4.898061,-0.001193
5.170671,-0.000234
5.285281,-0.001616
5.231909,-0.002216
5.013723,-0.000841
4.653924,-0.000441
4.173741,-0.000725
3.614882,-0.000368
3.004061,-0.000055
2.385039,0.000457
1.809873,-0.001634
1.315025,-0.001352
0.929870,0.000111
0.674139,-0.000095
0.577542,0.000373
0.640914,-0.000740
0.867694,-0.001308
1.233734,-0.001281
1.726118,-0.001179
2.297921,-0.002438
2.909609,0.000283
3.530119,0.000138
4.099432,0.001692
4.590354,-0.000060
4.968988,-0.000121
5.206091,0.002577
5.287024,-0.000058
5.206944,0.001500
4.978317,0.000116
4.592594,-0.002232
4.103505,-0.000037
3.523008,0.001224
2.902810,-0.000308
2.290310,0.000316
1.727577,0.000776
1.235822,0.000222
0.865186,-0.000559
0.643665,-0.000806
0.576760,-0.000215
0.676827,-0.000919
