Reference detector [V],Primary detector [V]
3.967772,-0.002811
3.268803,-0.002413
2.534500,0.000063
1.832650,-0.000259
1.242303,-0.000683
0.820132,0.000019
0.602418,-0.001077
0.616604,-0.000783
0.858259,-0.001063
1.310899,-0.000967
1.914231,-0.001130
2.625402,-0.001766
3.350987,-0.000751
4.057404,-0.000849
4.646264,-0.001567
5.060435,-0.000252
5.268991,0.000174
5.239615,0.001277
4.984245,-0.000457
4.537055,0.000143
3.922094,-0.000312
3.209471,0.000135
2.475882,0.000768
1.783519,-0.000452
1.210187,0.000169
0.798459,0.000061
0.597180,0.000864
0.625456,0.000825
0.882522,-0.000229
1.336610,0.000519
1.940928,-0.000694
2.654691,-0.000802
3.393622,-0.000093
4.070191,-0.001782
4.660222,-0.000952
5.069025,-0.000356
5.268433,-0.001672
5.240043,-0.000922
4.986292,-0.001046
4.523028,-0.001058
3.921329,0.000799
3.208782,0.000274
2.465769,-0.000624
1.778635,-0.000859
1.194581,0.000336
0.786648,0.000253
0.595296,0.000159
0.629878,0.001182
0.894445,-0.001539
1.354251,-0.001126
1.977278,-0.000273
2.671858,-0.000811
3.412048,-0.000784
4.100646,-0.001098
4.670105,-0.000302
5.069867,-0.002056
5.268201,0.000292
5.239274,-0.001144
4.977858,-0.001265
4.507912,-0.002903
3.888804,-0.002251
3.194387,-0.002454
2.469831,-0.000904
1.778846,-0.002583
1.209627,-0.001085
0.802907,0.000424
0.599082,-0.000438
0.620282,-0.000963
0.868381,-0.000487
1.312327,-0.000358
1.910233,-0.001457
2.624832,-0.000542
3.354287,-0.001441
4.037649,0.000402
4.626168,-0.001307
5.049180,-0.002742
5.263416,-0.002168
5.251282,-0.002106
5.017080,-0.001204
4.583723,-0.001870
4.001505,-0.000562
3.296206,-0.001704
2.566083,-0.000835
1.871638,-0.001927
1.275023,-0.002019
0.841585,-0.002295
0.612564,-0.002737
0.605114,-0.002570
0.818820,-0.001254
1.240625,-0.002022
1.828563,-0.002425
2.510045,-0.001751
3.244272,-0.001433
3.946586,-0.000267
4.553594,0.001057
5.001415,-0.000931
5.245983,-0.000952
5.266932,-0.000548
5.063653,0.000521
4.657935,0.000328
4.077135,0.001888
3.383722,-0.001185
2.647723,0.000836
1.944853,0.000439
1.327603,0.000043
0.873337,-0.000209
0.622788,0.000340
0.598467,-0.001350
0.802177,0.000490
1.210678,0.000113
1.793322,0.000161
2.483922,-0.000089
3.218825,-0.000344
3.933321,0.000371
4.550472,-0.001387
5.002156,-0.001870
5.246222,-0.001376
5.266182,-0.000484
5.056187,-0.000371
4.637793,-0.000243
4.046089,0.001232
3.360579,0.000441
2.636881,0.001032
1.927077,-0.000207
1.319513,-0.000371
0.869509,0.000955
0.620625,0.000551
0.600273,0.000140
0.805527,0.000114
