Reference detector [V],Primary detector [V]
0.731990,0.000128
1.047050,0.000965
1.504282,-0.000496
2.056116,0.000077
2.695727,-0.000105
3.347481,0.001367
3.969756,0.000988
4.505733,0.000596
4.922626,0.000364
5.191321,0.001214
5.290833,0.001716
5.219049,0.000817
4.968574,0.000981
4.565865,-0.001180
4.040902,0.000349
3.450201,0.000651
2.803638,0.000181
2.177601,0.001336
1.600559,0.000186
1.115599,-0.000340
0.785395,0.000637
0.601954,0.001085
0.589227,-0.001458
0.747870,0.001210
1.065787,0.002063
1.514026,0.000556
2.070518,0.000526
2.680619,-0.000255
3.315840,0.000320
3.923932,-0.001024
4.452110,-0.000064
4.875335,0.000444
5.159705,-0.000947
5.286171,0.000222
5.243634,-0.000336
5.033103,-0.000085
4.676584,-0.000110
4.189005,0.000561
3.613251,0.000020
2.984409,-0.000518
2.365231,-0.000077
1.780734,-0.000686
1.272079,-0.000849
0.886535,0.000129
0.649987,-0.000770
0.575114,-0.000632
0.673133,-0.000521
0.929573,-0.000644
1.325603,0.000808
1.843622,0.000747
2.421302,0.002004
3.031459,0.001296
3.651653,0.000898
4.220581,0.000751
4.688348,0.001272
5.040579,0.000776
5.246952,-0.000513
5.289528,-0.000786
5.161247,-0.000660
4.877104,0.000910
4.468389,0.000896
3.951835,0.000253
3.350385,0.002104
2.745035,0.000522
2.146519,0.002543
1.595858,0.000318
1.136535,-0.000032
0.798436,0.000661
0.611957,0.000846
0.582399,-0.000056
0.714461,-0.000431
1.008855,0.001136
1.417383,0.000372
1.934180,0.000118
2.523962,0.000898
3.139085,0.002572
3.734334,0.002116
4.283331,0.002361
4.745970,0.000673
5.076429,0.001670
5.260934,0.000154
5.284087,0.001408
5.152375,-0.000098
4.866239,0.001189
4.446306,0.001142
3.923365,0.001473
3.337082,0.001648
2.720015,0.000727
2.117126,0.000669
1.581798,0.002065
1.126511,0.000090
0.796221,0.001768
0.609802,0.001299
0.584676,0.001305
0.716555,-0.000361
1.001759,0.000868
1.424060,-0.000630
1.948071,-0.000027
2.537135,0.000593
3.151028,0.000069
3.751606,0.001584
4.296201,0.001641
4.751548,0.002061
5.075796,0.000918
5.256848,-0.000404
5.285173,-0.001048
5.151727,-0.000542
4.866002,-0.000290
4.443913,-0.000597
3.919092,-0.002642
3.324417,0.000443
2.706933,-0.001503
2.105262,-0.001852
1.560710,0.000659
1.110038,0.000583
0.785050,0.001975
0.607426,0.001820
0.584552,0.000860
0.722217,0.001611
1.007873,0.002370
1.428139,0.001572
1.954589,0.000188
2.546738,0.000026
3.159331,0.000775
3.765380,0.000769
4.311727,0.000526
4.768836,0.000603
5.095318,0.000666
5.267521,-0.000138
5.276837,0.000323
5.120930,-0.000861
4.810558,0.000212
4.368826,0.000634
3.835500,0.000931
3.226552,-0.000050
2.599521,0.000847
1.996473,0.000799
1.455885,-0.000357
1.018392,0.000771
0.718862,0.001539
0.583476,0.002715
0.618700,0.000899
0.821725,0.001242
1.158247,0.000546
1.642559,0.002148
2.216769,0.001380
2.845563,0.000335
3.496830,-0.000558
4.086659,0.000486
4.591549,0.000359
4.984578,0.000617
5.219592,0.000954
5.293093,0.001009
5.196284,0.001713
4.923735,0.002560
4.513197,0.001336
3.995036,0.001444
3.374703,0.000070
2.723869,0.001208
2.108552,0.000550
1.542540,0.000078
1.086338,0.001623
0.752906,0.000513
0.591693,0.000810
0.600289,0.000966
0.779562,0.000375
1.117739,0.002039
1.596442,0.000752
2.160396,0.001767
2.787230,0.000363
3.425515,0.000100
4.028792,0.000532
4.555179,-0.001917
4.953444,-0.001150
5.204857,-0.000776
5.293355,-0.001704
5.206427,-0.001418
4.952810,-0.001317
4.545300,-0.000395
4.021870,0.000006
3.412457,0.000601
2.770789,0.000943
2.142095,-0.000290
1.570096,-0.001062
1.107331,0.000158
0.777769,-0.000893
0.599483,0.001023
0.591875,-0.001713
0.757476,-0.000816
1.088245,-0.001100
1.553578,-0.001373
2.116915,-0.000083
2.729039,0.000020
3.396697,0.000350
3.999872,0.001716
4.524613,-0.000230
4.938427,0.000182
5.198722,0.000499
5.293385,-0.001029
5.214752,-0.001139
4.971331,-0.000055
4.575840,0.000080
4.063298,-0.000839
3.471073,-0.000368
2.826979,-0.000676
2.199002,0.000071
1.628463,0.001427
1.142778,0.001590
0.792261,0.001189
0.605995,0.000546
0.588094,0.001422
0.743849,0.000793
1.063183,0.002243
1.510805,-0.000505
