Reference detector [V],Primary detector [V]
3.861254,0.001252
3.121700,-0.000214
2.369886,-0.000593
1.666678,-0.000848
1.104121,-0.000649
0.726192,-0.001146
0.581258,-0.000536
0.682680,0.000727
1.019676,-0.000150
1.550514,0.000719
2.217636,-0.001431
2.966480,-0.000751
3.716051,-0.000995
4.373191,-0.001523
4.892170,-0.000860
5.203304,-0.001994
5.284253,-0.001663
5.118822,-0.002056
4.724264,-0.001878
4.152191,-0.002206
3.445384,-0.000653
2.702323,-0.001263
1.964482,-0.000835
1.334813,-0.001610
0.865427,0.000563
0.616640,-0.001072
0.606000,-0.002606
0.833834,-0.000158
1.278952,0.000417
1.896045,0.000243
2.620035,-0.000180
3.369102,-0.000625
4.082499,-0.000679
4.672286,-0.000483
5.087840,-0.001950
5.278577,-0.000108
5.225503,0.000351
4.934175,0.000962
4.433204,-0.000464
3.775817,0.000725
3.038141,-0.000291
2.286976,-0.001034
1.598490,-0.000699
1.053752,-0.000188
0.703804,-0.000112
0.580545,-0.000726
0.705455,-0.001219
1.061482,-0.002601
1.612024,-0.000317
2.302408,-0.000623
3.063823,0.000002
3.805933,0.000920
4.452618,0.001460
4.959510,0.001258
5.237159,0.001276
5.273263,0.000240
5.065783,0.000959
4.629623,0.000150
4.021843,0.002022
3.289208,0.000765
2.532129,0.000526
1.807970,0.001288
1.195030,0.001688
0.778659,0.000796
0.589997,0.001061
0.646773,0.000468
0.945864,0.001409
1.448128,-0.000163
2.110028,-0.000368
2.861114,0.000630
3.614953,-0.000272
4.296321,0.000570
4.835237,0.000315
5.180094,-0.000793
5.287835,0.000924
5.147954,0.000721
4.774740,-0.000524
4.208285,0.000556
3.497370,0.001004
2.732756,-0.001384
1.997080,0.001463
1.360588,-0.000138
0.879072,-0.000932
0.617343,-0.000037
0.605555,-0.001024
0.845188,-0.000360
1.297059,-0.001565
1.924231,-0.000815
2.654208,0.000134
3.413207,0.001300
4.126816,0.001336
4.714249,0.001669
5.114769,0.001664
5.283738,0.001188
5.207057,-0.000360
4.887936,0.000071
4.364262,-0.000024
3.688123,-0.000765
2.929253,0.000862
2.166083,-0.001436
1.499964,-0.001129
0.979376,-0.001521
0.659246,-0.000172
0.586690,-0.000794
0.763739,-0.000463
1.164528,-0.000740
1.749684,-0.002154
2.472730,-0.000990
3.241799,-0.001026
3.970229,-0.001882
4.591424,-0.002545
5.038846,-0.002282
5.264308,-0.002646
5.248154,-0.000872
4.987368,-0.002245
4.520844,-0.001082
3.888039,-0.001094
3.155926,0.000008
2.400785,-0.000227
1.698674,0.000164
1.128869,-0.001211
0.741890,-0.000466
0.582879,-0.000497
0.666743,-0.000500
0.982760,-0.000928
1.492081,-0.001035
2.145171,0.000669
2.878699,-0.001130
3.619336,-0.001039
4.290808,-0.000197
4.831049,0.000826
5.171727,-0.000018
5.289020,-0.000532
5.176344,-0.000960
4.845500,-0.001219
4.312533,-0.000849
3.657707,-0.000318
2.927050,-0.001040
2.194668,-0.000139
1.546264,0.001050
1.022425,-0.000460
0.690205,-0.000448
0.578681,0.001836
0.695409,0.000478
1.030167,0.000280
1.545762,0.001601
2.199787,-0.000058
2.915005,0.001234
3.646790,-0.001091
4.309137,0.001379
4.828380,0.000827
5.165191,0.000982
5.289454,0.000042
5.185930,0.002377
4.867823,0.001651
4.362964,0.001229
3.734854,0.000852
3.022008,0.001554
2.318773,0.000206
1.652588,0.000824
1.123467,0.000032
0.753925,-0.000854
0.586960,-0.001744
0.640752,-0.000913
0.906600,-0.000544
1.350930,-0.001269
1.953417,-0.001633
2.619912,-0.000442
3.333581,-0.001934
4.000647,0.000515
4.569878,-0.001254
4.996951,-0.000140
5.240420,-0.001242
5.279658,-0.001284
5.112894,0.000058
4.754735,-0.000265
4.236275,-0.000140
3.614221,0.000223
2.919356,-0.001507
2.246083,-0.001089
1.604958,-0.000824
1.095686,-0.001290
0.743791,-0.001537
0.588074,0.000219
0.626513,-0.001708
0.870758,-0.000595
1.278949,-0.000083
1.847846,-0.000363
2.488327,-0.001716
3.172349,-0.000714
3.847648,-0.001064
4.437205,-0.001390
4.897845,-0.000143
5.191881,0.000562
5.290060,-0.000580
5.192367,0.001047
4.902816,0.001552
4.449481,-0.000719
3.875223,-0.001667
3.210530,-0.000970
2.538265,-0.000878
1.887189,-0.000886
1.322402,-0.001077
0.887131,-0.000500
0.637546,-0.000674
0.582350,0.000250
0.723386,0.000856
1.046392,0.001667
1.530129,0.000032
2.118224,0.001187
2.785597,-0.000361
3.462787,-0.000132
4.101400,0.000228
4.633069,-0.000354
5.024745,0.001415
5.249011,-0.000207
5.277588,0.000894
5.113826,0.000824
4.765232,-0.000685
4.272298,-0.001396
3.663087,-0.001207
2.991516,-0.001417
2.317138,-0.001122
1.693912,-0.002557
1.181363,-0.000801
0.804482,-0.001002
0.604902,-0.001694
0.600440,-0.001790
0.789560,-0.001282
1.156240,-0.000444
1.658990,-0.000429
2.280403,-0.000985
2.955451,0.000045
3.615039,-0.000916
4.227506,0.001302
4.729855,0.002007
5.090874,0.000697
5.271619,0.001622
5.261247,0.000704
5.059124,-0.000624
4.676757,-0.000648
4.155898,0.000926
3.538435,0.001844
2.861722,0.000613
2.192797,0.001179
1.590287,0.000249
1.102542,0.001255
0.760471,0.000660
0.591384,-0.000093
0.618387,-0.000944
0.836017,-0.001279
1.228253,-0.000954
1.752118,-0.000316
2.378272,-0.000562
3.057190,-0.000511
3.712816,-0.001277
4.305953,-0.001212
4.797283,-0.000282
5.127455,-0.000164
5.280691,0.000132
5.246610,0.000648
5.021584,0.000186
4.628353,0.001405
4.100554,-0.000933
3.465861,-0.000999
2.798815,-0.001148
2.125199,-0.000561
1.531117,-0.001017
1.058917,-0.000889
0.733278,-0.000235
0.585517,-0.000693
0.627868,0.000197
0.860804,0.000306
1.257942,-0.000087
1.792765,0.001106
2.413436,0.000523
3.086028,-0.000240
3.738618,-0.000481
4.333194,-0.001246
4.813108,-0.000916
5.131564,0.000192
5.282418,-0.002355
5.246053,-0.001899
5.027855,-0.001698
4.645514,-0.000105
4.126221,0.000558
3.517120,0.000413
2.864816,0.001288
2.216562,0.001407
1.617640,0.000963
1.116664,-0.001880
0.776064,-0.000865
0.597005,-0.000741
0.602831,-0.000253
0.787054,-0.002702
1.136009,-0.001970
1.620068,-0.001708
2.206015,-0.001430
2.843444,-0.001319
3.503873,-0.000683
4.106721,-0.000554
4.624916,-0.000115
5.009588,0.000088
5.236290,0.000815
5.288405,-0.001149
5.159877,-0.000193
4.868126,-0.000332
4.442910,-0.001111
3.884768,0.000693
3.266950,-0.000106
2.618274,-0.000044
1.988477,0.000145
1.437371,0.000778
1.000171,0.000336
0.710353,0.001463
0.581185,0.000246
0.632738,0.000643
0.855170,0.000135
1.232101,0.001354
1.745515,0.000577
2.353070,0.000092
2.999056,-0.000005
3.638695,-0.000011
4.201549,0.000227
4.697757,0.001320
5.050652,0.000624
5.253256,0.002558
5.281625,0.001100
5.141337,-0.000280
4.834020,0.000494
4.385252,0.001433
3.834425,0.000373
3.217491,0.001127
2.590655,0.000533
1.982520,0.001078
1.445589,-0.000556
1.002457,-0.000202
0.713219,0.001072
0.581948,0.000752
0.621115,0.000950
0.828443,-0.000300
1.199600,-0.000140
1.691662,-0.000494
2.264624,0.001588
2.895458,-0.001374
3.517569,-0.000952
4.114706,-0.001770
4.624693,-0.000619
5.004678,-0.001469
5.228499,-0.001208
5.289296,-0.001337
5.177396,0.000197
4.898166,0.001468
4.477329,0.001354
3.928601,0.001533
3.316370,-0.000058
2.687757,-0.001075
2.052846,-0.001415
1.491756,-0.001378
1.047737,-0.000546
0.731443,-0.001037
0.586610,-0.001469
0.619834,-0.001697
0.823457,-0.000069
1.192770,0.000042
1.703176,-0.001126
2.292611,0.000640
2.936538,0.001221
3.578761,-0.000484
4.171286,-0.001018
4.668828,-0.001122
5.040686,-0.001550
5.248405,-0.003172
5.283937,-0.000921
5.141204,0.000084
4.822184,-0.000929
4.364760,-0.000797
3.816033,-0.000449
3.184532,-0.000204
2.543530,-0.000441
1.928695,0.001329
1.385792,-0.001789
0.951811,-0.000194
0.675714,-0.000516
0.576944,0.000867
0.655027,0.000068
0.903102,-0.000627
1.311653,0.000045
1.840387,-0.000146
2.459099,0.000514
3.110919,0.000448
3.731755,0.001576
4.313124,0.000655
4.778060,0.002133
5.112448,-0.000174
5.277400,-0.000276
5.259630,-0.000632
5.061526,0.000385
4.703481,0.000213
4.193113,-0.000154
3.601491,0.000331
2.938101,0.000054
2.286681,-0.000109
1.684248,0.000614
1.178613,0.001418
0.811698,0.000693
0.608784,-0.000062
0.591867,0.000752
0.761640,0.001252
1.102645,0.001048
1.586891,0.000540
2.185777,-0.000738
2.840405,-0.000509
3.501157,-0.000682
4.117840,0.000078
4.637212,-0.001604
5.022246,-0.000844
5.241553,0.000168
5.281775,0.000526
5.139146,0.000740
4.810241,-0.001178
4.336453,-0.000429
3.755462,-0.001767
3.104943,-0.001823
2.453099,-0.001159
1.826143,0.000695
1.300017,-0.001005
0.888357,-0.000883
0.641990,0.000140
0.578985,0.000122
0.698857,-0.000204
0.982265,0.000883
1.431768,0.000331
1.991623,-0.000238
2.626212,-0.000753
3.282551,-0.000429
3.911368,-0.001219
4.471762,-0.001717
4.900542,-0.002689
5.182131,-0.000866
5.290421,-0.001083
5.211943,0.000753
4.957490,0.000270
4.545576,-0.000138
3.999437,-0.000836
3.380945,-0.002344
2.723684,0.000097
