Reference detector [V],Primary detector [V]
0.700123,0.001319
0.579548,0.000881
0.629928,0.000885
0.846526,0.000319
1.223056,0.000033
1.709608,0.000226
2.291806,-0.000566
2.915402,-0.000370
3.540279,-0.000240
4.128450,0.001130
4.636720,0.001655
5.005043,0.001137
5.227837,-0.000074
5.291241,0.001505
5.184598,0.000730
4.922700,0.000232
4.516194,0.000938
4.007385,0.000625
3.420839,-0.000130
2.815117,0.000569
2.175086,0.000851
1.622421,-0.000504
1.153556,0.000204
0.808979,0.001334
0.614578,-0.000487
0.585129,0.000947
0.721532,0.000836
1.021155,0.000670
1.454980,0.001043
1.980131,0.001857
2.576095,0.000352
3.189356,0.000323
3.796122,0.000740
4.346524,0.000613
4.779444,0.000634
5.099936,0.000899
5.269015,0.002598
5.277069,0.003227
5.121162,0.001812
4.818630,0.001505
4.385396,0.000391
3.847326,0.001017
3.252340,-0.000437
2.639602,-0.000337
2.042043,0.000146
1.511547,-0.001416
1.075338,0.000155
0.768580,0.000255
0.599849,0.001668
0.592875,0.000921
0.742742,0.001798
1.043095,-0.000040
1.463979,-0.000372
1.991305,0.000471
2.585895,-0.001504
3.199966,-0.001641
3.787604,-0.001905
4.322249,-0.000842
4.769178,-0.000186
5.088340,0.000273
5.263684,-0.000978
5.279383,0.000815
5.143855,0.000591
4.861808,0.000339
4.454132,-0.001179
3.945224,0.001446
3.359146,0.001746
2.750660,-0.000503
2.160172,0.000052
1.612751,-0.001073
1.151937,-0.000518
0.816458,-0.000046
0.621053,-0.001045
0.579099,0.000383
0.693675,0.000586
0.953972,-0.000606
1.347051,-0.000943
1.850355,-0.000323
2.430352,-0.000711
3.029489,-0.000373
3.641566,-0.000013
4.193381,0.000169
4.665073,0.000133
5.022479,-0.001615
5.235786,-0.002563
5.290627,-0.001878
5.190848,-0.002257
4.937146,-0.000787
4.546043,-0.001282
4.042513,-0.000645
3.468595,-0.000376
2.863428,0.000571
2.261555,0.001159
1.696052,0.000970
1.219271,-0.000363
0.859100,0.000351
0.639616,-0.000120
0.577272,0.000002
0.672755,0.000348
0.923042,-0.000039
1.321657,0.000391
1.824129,-0.000037
2.402061,0.000612
3.022300,0.000902
3.631005,-0.000321
4.217693,-0.000502
4.690854,0.000581
5.039826,0.000851
5.243744,0.000492
5.287737,-0.000093
5.171058,0.000076
4.897053,-0.000719
4.480356,-0.001459
3.950622,0.000363
3.366679,-0.000933
2.729973,-0.001238
2.119144,0.000487
1.578256,0.000758
1.118351,-0.000329
0.787920,0.000434
0.607396,0.001418
0.589477,0.001044
0.737338,0.000738
1.044025,0.001631
1.476989,0.001613
2.022760,0.000560
2.616669,0.000311
3.249920,0.000320
3.858122,0.000773
4.391737,0.003503
4.832500,0.001385
5.129966,0.001114
5.279330,0.000471
5.262473,0.001943
5.078835,0.001861
4.745902,0.002254
4.279728,0.001343
3.704751,0.000941
3.090171,0.001963
2.471122,0.000510
1.887941,0.001653
1.358948,0.001587
0.952620,0.002397
