Reference detector [V],Primary detector [V]
0.931236,-0.001673
1.429578,-0.000359
2.077931,-0.000527
2.814417,-0.000013
3.565972,-0.001679
4.248633,-0.000376
4.793857,0.000496
5.158262,-0.000158
5.288851,0.000846
5.173800,0.000081
4.823255,-0.000013
4.283172,-0.000905
3.591378,-0.000010
2.843425,0.001543
2.099129,0.001811
1.437640,0.000514
0.937800,0.000592
0.641565,-0.000494
0.584198,-0.000579
0.769191,0.000025
1.173773,-0.001193
1.769766,-0.001018
2.487190,-0.000209
3.231362,-0.001802
3.960556,-0.001283
4.583091,-0.002539
5.033741,-0.001443
5.264719,-0.002178
5.252963,-0.002539
5.001585,-0.001883
4.536662,-0.001041
3.901272,0.000895
3.173672,-0.000952
2.419029,-0.001457
1.705239,-0.002790
1.143412,-0.000759
0.752665,-0.000895
0.581128,-0.000847
0.651508,-0.002338
0.956354,-0.002067
1.458177,-0.000614
2.110040,0.000053
2.857610,0.001533
3.621243,0.000891
4.306546,0.000245
4.841901,0.001266
5.182900,0.000059
5.288480,0.000791
5.148104,0.000061
4.775881,0.001593
4.214895,0.001555
3.518781,0.000604
2.757777,-0.000130
2.013909,0.001167
1.373877,-0.000088
0.897029,-0.000051
0.622172,0.001650
0.593712,0.002424
0.809075,-0.000991
1.235914,0.000960
1.849216,-0.000676
2.569202,0.000016
3.322368,-0.000372
4.030602,-0.000102
4.625407,-0.002473
5.061008,-0.000652
5.271187,-0.000429
5.240827,-0.001532
4.970225,0.000135
4.503625,0.001157
3.866941,0.000492
3.138677,-0.000182
2.380281,0.000606
1.692603,0.000587
1.121995,0.000115
0.740885,-0.000176
0.579028,0.000420
0.651935,-0.000218
0.954320,-0.000318
1.445448,0.000361
2.100203,0.000475
2.824895,0.001049
3.561763,0.001365
4.247753,0.001791
4.799138,0.002965
5.153100,0.000807
5.288801,0.001618
5.188596,0.001790
4.871922,0.000873
4.358943,0.000501
3.718368,0.000159
2.986017,0.001043
2.255324,-0.000188
1.586501,0.000276
1.053588,-0.000630
0.708300,0.001016
0.575086,0.000945
0.672591,0.001492
0.991551,0.001618
1.496247,0.000147
2.137881,0.000809
2.866237,-0.001070
3.595552,-0.001642
4.260800,-0.000980
4.796940,0.000659
5.150268,-0.000517
5.289197,0.000281
5.201686,0.000467
4.893192,0.000006
4.396103,0.000578
3.763096,-0.000730
3.051565,-0.003286
2.333344,0.001072
1.677264,0.000666
1.133579,0.000611
0.759406,-0.000432
0.584846,-0.001175
0.623893,0.000568
0.876938,0.000478
1.315631,0.000214
1.901294,-0.000298
2.579387,0.002262
3.292280,0.000472
3.974745,0.000212
4.547778,0.001093
4.983815,-0.000061
5.238690,0.000008
5.280269,-0.000724
5.107512,-0.000085
4.735049,-0.000752
4.207717,-0.001408
3.567140,-0.001208
2.864601,0.000014
2.177324,0.000349
1.548457,0.000236
1.044379,-0.000125
0.708290,0.000331
0.576514,0.000368
0.649440,0.000328
0.923932,-0.000000
1.379329,-0.000434
1.968555,-0.001250
2.645429,0.000163
3.347706,0.001933
4.018752,0.000739
4.576761,0.000614
5.002027,-0.000025
5.242333,0.000647
5.279798,0.003417
5.109947,0.001884
4.755875,0.003782
4.236567,0.001943
3.602773,0.000548
2.910882,-0.000418
2.217546,0.000388
1.591712,-0.000633
1.079242,0.000995
0.735114,0.001453
0.581087,-0.000984
0.628580,-0.000192
0.874536,-0.000987
1.296414,0.000196
1.865882,0.001156
2.524209,0.001324
3.212368,-0.000834
3.880987,-0.000127
4.464960,-0.000455
4.916758,-0.001459
5.199635,-0.000194
5.290950,-0.000834
5.186101,-0.000767
4.893956,-0.001107
4.435777,-0.001719
3.851893,-0.001103
3.192069,-0.001391
2.508795,-0.001584
1.857210,-0.000954
1.310150,-0.001998
0.887331,-0.000471
0.638016,-0.000388
0.576670,-0.001011
0.710592,0.000769
1.022903,-0.000313
1.497811,-0.002366
2.086563,0.000529
2.744364,-0.000019
3.416781,0.000451
4.055194,0.000554
4.597754,0.000627
5.011627,0.001574
5.239170,0.001931
5.285957,0.000873
5.136104,0.000166
4.810649,0.000519
4.313126,-0.001143
3.723051,0.000387
3.074516,0.000611
2.401709,-0.001462
1.781224,0.000024
1.248044,0.000317
0.851607,0.000832
0.623647,0.001675
0.581921,0.001540
0.725653,0.002249
1.043277,0.000584
1.504967,-0.000456
2.084478,-0.001330
2.720356,-0.000341
3.367238,-0.000283
4.001830,0.000875
4.545249,-0.000109
4.952596,0.000344
5.212250,-0.001195
5.290938,-0.000897
5.190040,0.000732
4.913382,0.001118
4.488111,-0.002080
3.932951,-0.001558
3.325430,-0.000902
2.666635,-0.000362
2.033754,-0.000779
1.474890,-0.001277
1.021613,0.000063
0.717711,0.000355
0.578822,-0.001620
0.618883,-0.001027
0.832135,-0.001167
1.197047,0.001015
1.687273,0.000274
2.263417,0.001359
2.901187,0.000578
3.540018,0.000569
4.124907,0.000026
4.637203,0.000328
5.008087,0.000638
5.234511,-0.000139
5.291253,-0.000287
5.177552,-0.000141
4.904811,-0.000197
4.503503,0.000153
3.960560,-0.000153
3.360486,0.000140
2.727770,0.000642
2.107328,0.001013
1.559040,0.002782
1.100157,0.001339
0.779009,0.001957
0.597069,-0.000629
0.587071,-0.001182
0.736621,-0.000512
1.038674,-0.000242
1.466822,-0.000256
2.001940,0.000754
2.602276,-0.000239
3.230692,-0.000029
3.839971,0.001006
4.377836,-0.000320
4.811784,0.000137
5.118323,0.000838
5.273458,0.000660
5.270790,0.000116
5.110108,0.000366
4.789446,-0.000821
4.340461,-0.000812
3.802816,-0.000588
3.193904,-0.000065
2.574657,-0.001462
1.988616,-0.000637
1.451359,0.000519
1.023531,-0.000577
0.731577,-0.000693
0.583724,0.001322
0.598553,0.000121
0.773731,0.000617
1.091750,0.000101
1.527555,0.000614
2.069542,0.000055
2.657018,0.000730
3.278653,0.000441
3.863597,0.002156
4.392843,0.000995
4.815708,0.000730
5.119088,0.001255
5.272424,0.001681
5.272775,0.000620
5.111934,0.000135
4.803340,0.001024
4.370584,0.000268
3.848535,0.002428
3.245853,0.000420
2.630040,-0.000533
2.030988,-0.000143
1.500154,0.000337
1.066072,0.000527
0.756381,0.000726
0.594791,0.001630
0.588104,0.000634
0.742814,0.000524
1.040355,0.001018
1.465402,0.002102
2.001880,-0.000208
2.596353,-0.000383
3.202137,-0.001309
3.808473,-0.000373
4.348104,-0.001105
4.790905,-0.000888
5.104959,-0.000204
5.270525,0.000670
5.271916,-0.000380
5.121491,-0.001474
4.809491,-0.002228
4.372733,-0.001581
3.845783,-0.001558
3.242696,0.000315
2.611046,-0.002075
2.009055,-0.000501
1.482788,-0.001664
1.033749,-0.000483
0.734804,0.000043
0.587204,0.000094
0.600293,0.000613
0.776729,0.000204
1.108700,-0.000530
1.562720,-0.000798
2.127528,-0.000945
2.741790,-0.001876
3.362199,-0.001168
3.955999,-0.001287
4.488982,-0.002655
4.904071,-0.000718
5.179422,-0.000944
5.290605,-0.000524
5.231429,-0.001284
5.001088,0.000307
4.628797,0.000469
4.130961,0.000608
3.558029,-0.000034
2.927016,-0.001285
2.312701,-0.000540
1.738652,0.000617
1.241187,-0.000466
0.860572,-0.001821
0.635238,-0.001491
0.573994,-0.000022
0.680945,-0.000642
0.950214,0.000550
1.366879,-0.000680
1.902555,0.001150
2.506944,0.000536
3.146505,0.001317
3.756044,0.000608
4.320855,0.000770
4.785132,-0.000857
5.112437,-0.000667
5.274216,-0.001118
5.265453,-0.000477
5.083095,0.000398
4.745103,0.000003
4.270832,0.001592
3.690813,0.001249
3.055573,0.002995
2.418720,0.001616
1.811066,0.000823
1.289818,0.002026
0.890652,0.001853
0.647046,0.001170
0.573770,0.000797
0.676015,-0.000826
0.955772,0.001259
1.380009,0.000118
1.916371,0.001431
2.536379,0.001997
3.189165,0.001557
3.814947,0.000346
4.378343,0.001375
4.836205,0.000991
5.140574,0.000843
5.283475,0.000239
5.250049,0.001047
5.042814,-0.000139
4.673561,-0.001386
4.177515,-0.000638
3.586081,-0.002807
2.945285,-0.001051
2.292996,-0.000226
1.702674,0.001707
1.197630,-0.000888
0.834636,0.000974
0.618346,0.001106
0.579451,-0.000561
0.716432,0.000309
1.022955,-0.000180
1.473243,-0.000574
2.026341,-0.002052
2.658805,-0.000445
3.296544,-0.001570
3.915529,-0.001061
4.462943,0.001000
4.897864,-0.000121
5.179164,-0.000469
5.290293,0.000261
5.227787,-0.001599
4.994427,-0.001282
4.593884,-0.001681
4.074266,-0.000463
3.482489,0.000243
2.830679,-0.000537
2.200350,-0.000778
1.615440,0.001245
1.130102,-0.000005
0.786663,0.001211
0.601026,0.002690
0.588371,0.000965
0.749465,0.000547
1.074800,0.001243
1.541681,0.000309
2.103419,0.000143
2.728675,-0.000525
3.373044,-0.000788
3.978235,-0.000107
4.514992,-0.001210
