Reference detector [V],Primary detector [V]
1.090068,-0.001604
0.742415,-0.001232
0.590464,-0.000845
0.642903,-0.000999
0.902420,-0.001124
1.331662,0.000314
1.902778,0.000052
2.581754,-0.001974
3.276984,-0.000557
3.936672,-0.001095
4.517995,-0.000914
4.956851,-0.002962
5.215866,-0.001714
5.281975,-0.002009
5.145687,-0.002581
4.816684,-0.001299
4.328903,-0.001234
3.718628,-0.001091
3.028316,-0.001070
2.336731,0.000036
1.692217,0.000473
1.164780,-0.000897
0.786793,0.000326
0.601136,-0.002097
0.622378,-0.001122
0.846535,-0.000537
1.252375,-0.001529
1.806054,-0.000048
2.460708,0.000674
3.165592,0.000837
3.842822,0.000904
4.443688,0.000755
4.901151,0.001987
5.195697,0.001765
5.283455,0.000497
5.156312,0.000741
4.835846,0.000138
4.334441,0.001374
3.710293,0.000130
3.026095,-0.000514
2.322069,-0.001006
1.675521,-0.001179
1.143992,-0.000053
0.774916,0.000754
0.595941,-0.000223
0.630932,-0.000044
0.867740,0.001075
1.291311,0.000466
1.867754,0.001427
2.541395,-0.000247
3.240880,0.000302
3.917516,-0.000568
4.499485,0.000071
4.945762,-0.002708
5.214427,-0.001104
5.281167,-0.000842
5.135261,-0.000004
4.789699,0.000757
4.279996,-0.000177
3.648404,-0.001065
2.948644,-0.001221
2.255605,-0.001489
1.619616,-0.000397
1.094180,0.000586
0.740988,-0.000249
0.587910,0.000017
0.649197,0.000170
0.917635,0.000841
1.374065,-0.001086
1.967641,-0.000811
2.651533,-0.000246
3.376960,-0.000653
4.046751,0.000020
4.619841,-0.002831
5.033638,-0.001964
5.254428,-0.001855
5.255962,0.000012
5.036746,0.001614
4.619685,-0.002171
4.037309,-0.001212
3.355430,-0.000533
2.634602,-0.000292
1.938373,-0.001456
1.333823,-0.001025
0.885318,-0.000052
0.635032,-0.001415
0.597201,-0.000520
0.779398,0.000019
1.162860,-0.000933
1.723747,-0.000123
2.399198,-0.000994
3.122529,-0.001483
3.824698,-0.000791
4.438053,-0.001415
4.921290,-0.000083
5.208094,0.000249
5.278291,0.000038
5.128562,0.000295
4.770166,-0.001302
4.243458,0.000161
3.592015,0.000040
2.868490,-0.000650
2.157548,-0.001224
1.507589,-0.001521
1.006112,0.001658
0.690712,-0.000976
0.585235,-0.002067
0.706097,0.001408
1.042742,0.001004
1.561931,0.000865
2.218230,0.000585
2.940820,0.002755
3.657613,0.002179
4.310476,0.000704
4.831580,-0.000721
5.162746,0.001799
5.281603,-0.000810
5.174714,0.000820
4.850116,0.000853
4.339774,0.000368
3.685127,-0.000009
2.957381,0.000627
2.236187,0.001465
1.569736,0.000455
1.051519,-0.000191
0.708071,0.002314
0.584496,0.000487
0.695357,0.000537
1.027812,0.001368
1.556222,-0.001163
2.214526,-0.000762
2.950989,-0.000570
3.676878,-0.001115
4.339157,-0.000201
4.848544,-0.001946
5.177838,-0.000631
5.282102,-0.000426
5.157086,0.000018
4.806571,-0.000498
4.268734,-0.000778
3.605371,0.001227
2.881955,0.000769
2.145198,0.000110
1.489085,-0.000195
0.987395,-0.001773
0.673229,-0.001289
0.586666,0.000418
0.731707,-0.000674
1.092273,-0.000205
1.628167,0.000273
2.294734,0.000813
3.029807,0.000950
3.746329,0.000024
4.397341,0.000531
4.891357,0.001103
5.200821,0.000609
5.279764,-0.000033
5.127444,0.000253
4.754515,0.000240
4.199922,0.000596
3.529539,0.000669
2.793324,-0.000042
2.061898,0.000649
1.430578,-0.000016
0.933292,-0.000273
0.650217,0.000950
0.593375,-0.000243
0.772983,-0.002124
1.167430,-0.002158
1.750068,0.000271
2.442663,-0.001161
3.187763,-0.000584
3.923865,-0.001503
4.540162,-0.001006
4.997921,0.000054
5.246989,-0.000204
5.257855,-0.000197
5.036544,0.000316
4.592138,0.000911
3.987203,0.000682
3.272308,0.000138
2.506801,0.000040
1.802523,-0.001491
1.201491,-0.000683
0.790723,-0.000375
0.596469,0.000331
0.647500,-0.001111
0.925917,0.000170
1.410421,-0.000997
2.053610,0.000637
2.779840,0.000103
3.531408,0.000069
4.204811,0.000302
4.757619,0.000511
5.127820,0.000591
5.279707,-0.002307
5.196227,-0.001380
4.882805,-0.001944
4.373072,-0.001460
3.728345,-0.001531
2.990877,-0.000229
2.251657,0.000060
1.588793,-0.000339
1.056783,-0.002148
0.711165,-0.002288
0.585506,-0.001730
0.693071,-0.000671
1.022101,-0.001608
1.549326,-0.001352
2.205453,-0.001163
2.923355,0.000105
3.667189,-0.000390
4.324410,-0.000286
4.839138,-0.000321
5.168369,0.000840
5.282127,-0.001251
5.163364,-0.001753
4.830263,-0.001072
4.308429,-0.000672
3.651643,-0.000853
2.931367,-0.001859
2.199387,-0.002279
1.538589,-0.002487
1.024732,-0.001792
0.690558,-0.001672
0.584372,-0.001172
0.710530,0.002254
1.049792,0.001690
1.578241,0.001314
2.233746,0.001050
2.955985,0.002243
3.674550,0.000413
4.325594,0.000917
4.845970,0.001111
5.169527,0.001161
5.284395,-0.000722
5.167888,0.000414
4.841331,0.000383
4.329092,0.000680
3.682329,-0.000734
2.964980,0.000416
2.243537,0.001404
1.593327,-0.000254
1.073711,-0.001227
0.723934,0.000059
0.586650,-0.001250
0.669883,-0.000651
0.964003,-0.002987
1.439803,-0.001924
2.054573,-0.001771
2.768306,-0.000676
3.492563,-0.000655
4.157777,0.000313
4.707106,-0.000195
5.090539,-0.000331
5.272294,-0.000608
5.230911,-0.000317
4.969679,-0.000331
4.515339,0.000196
3.913144,-0.000059
3.209568,-0.000868
2.483637,-0.000554
1.796571,-0.000647
1.223538,-0.001511
0.807832,0.000335
0.603553,-0.000622
0.628028,0.000134
0.877255,0.000618
1.330466,-0.000717
1.939072,0.000515
2.639164,0.000047
3.373488,0.000201
4.063760,0.000291
4.643252,0.001895
5.056471,0.001132
5.264155,-0.000763
5.243147,-0.000081
4.997192,-0.000062
4.546367,-0.001056
3.947743,-0.000002
3.243660,-0.001107
2.509676,-0.000257
1.811537,-0.000570
1.228196,0.000029
0.811334,-0.001249
0.603626,-0.000732
0.627118,-0.000764
0.872823,-0.000401
1.325883,-0.002799
1.935219,-0.001614
2.644693,-0.000995
3.380041,-0.001671
4.061768,-0.001196
4.646552,0.000342
5.062056,0.000082
5.265287,-0.000173
5.239644,-0.001204
4.989000,0.000083
4.531884,0.000021
3.918304,-0.000230
3.208617,-0.000645
2.463178,0.000572
1.768290,-0.000203
1.198494,0.000130
0.790120,-0.000507
0.597555,0.001773
0.638156,0.001336
0.899084,0.000937
1.374286,0.000661
2.002723,-0.000602
2.726208,0.000121
3.467197,-0.000553
4.146766,0.000714
4.713626,-0.001144
5.098236,-0.001546
5.275334,-0.000108
5.219572,0.000552
4.926770,0.001076
4.441907,0.000408
3.808445,0.000478
3.091957,-0.000255
2.350899,-0.000179
1.665920,-0.000889
1.107726,0.000261
0.737121,0.000547
0.588944,-0.001413
0.662173,-0.001237
0.960613,-0.000489
1.456463,-0.002904
2.093330,-0.000812
