Reference detector [V],Primary detector [V]
3.498593,0.000791
4.185151,-0.000642
4.751320,0.001461
5.125715,0.000019
5.291493,0.001662
5.219281,0.001294
4.926418,0.000764
4.432862,0.000049
3.795364,-0.000425
3.055661,0.000851
2.313330,-0.000352
1.640232,-0.000796
1.083172,-0.002296
0.721222,-0.001381
0.574228,-0.000524
0.659104,-0.000625
0.969486,0.000455
1.463238,-0.000120
2.091321,-0.001425
2.814493,-0.001627
3.546983,0.000053
4.221993,0.000193
4.768031,-0.000658
5.137527,-0.000492
5.292753,-0.000082
5.219974,-0.001715
4.928376,0.000253
4.447468,-0.000356
3.815770,0.000758
3.096164,0.000945
2.361300,0.002087
1.684327,0.000869
1.128528,0.002347
0.747603,0.001154
0.578827,0.002778
0.631327,0.001570
0.909562,0.002642
1.383638,0.001176
1.998511,0.000436
2.715799,0.000921
3.447381,0.002370
4.129160,0.000795
4.698608,0.002621
5.094744,0.001750
5.283786,-0.000317
5.245842,-0.000554
4.988028,-0.000342
4.534943,-0.000088
3.921942,-0.002102
3.223442,-0.002079
2.493368,-0.001934
1.807812,-0.002208
1.232233,-0.000478
0.810253,-0.001310
0.595859,-0.001223
0.607728,-0.000034
0.844335,-0.000771
1.275389,-0.002426
1.877538,-0.001490
2.569373,-0.002032
3.299748,-0.001347
3.992988,-0.001471
4.587492,-0.000467
5.022681,-0.002447
5.262397,-0.003145
5.274670,-0.001921
5.059425,-0.001255
4.650496,-0.001852
4.072239,-0.001398
3.406278,-0.001545
2.672039,-0.001367
1.988105,0.000140
1.364964,-0.000888
0.904449,0.000084
0.633628,0.000462
0.578901,-0.000820
0.748631,-0.000905
1.123603,-0.000918
1.670878,-0.001924
2.336707,0.000934
3.045560,0.002328
3.758925,0.000826
4.386529,0.000754
4.882220,0.000699
5.194713,0.002163
5.296618,0.001076
5.168854,0.000661
4.835621,0.000204
4.321797,-0.001060
3.666895,0.000322
2.956102,0.000511
2.234277,-0.000622
1.569247,0.000259
1.049217,0.000605
0.706996,0.002338
0.573343,0.002812
0.662829,0.001632
0.959453,0.000489
1.460574,0.001847
2.089387,0.000299
2.804135,-0.000736
3.536080,-0.000782
4.193495,0.000514
4.746798,-0.000617
5.122936,-0.000065
5.288401,0.000561
5.235029,0.001151
4.959745,0.000796
4.491141,0.001580
3.874803,0.002566
3.163164,0.000948
2.427591,0.002111
1.743964,-0.000428
1.166911,-0.000407
0.764939,0.001383
0.582388,-0.000130
0.628075,-0.000412
0.896989,-0.000606
1.366293,-0.001102
1.983945,-0.000931
2.698063,-0.000869
3.437901,0.000998
4.132873,0.001071
4.696936,0.001757
5.096300,0.001247
5.285942,0.000485
5.240187,0.000913
4.966580,0.000087
4.497459,-0.000842
3.870556,-0.000539
3.162265,0.000618
2.426651,-0.001292
1.728098,-0.000215
1.159584,0.000030
0.769439,-0.000476
0.583075,-0.000213
0.630957,-0.001009
0.909745,0.000181
1.385852,0.000871
2.019900,0.000023
2.738117,-0.000457
3.494228,-0.001029
4.184931,-0.001909
4.742636,0.000333
5.125656,-0.000018
5.290028,-0.000696
5.221913,-0.001735
4.915356,0.001085
4.423962,0.000437
3.770642,0.000725
3.035602,0.001298
2.285129,0.000164
1.604838,0.000657
1.058492,-0.000634
0.705284,0.000558
0.572526,0.000694
0.675715,-0.000972
1.006922,-0.002269
1.521022,-0.000817
2.196045,-0.000885
2.938436,-0.000115
3.683811,-0.001462
4.355700,-0.001929
4.877354,-0.000310
5.198875,-0.002338
5.294071,-0.001984
5.149324,-0.000861
4.779722,-0.001208
4.225622,-0.001543
3.536216,-0.001642
2.788030,-0.001869
2.056015,-0.000365
1.416327,-0.000622
0.926893,0.000198
0.636199,-0.000560
0.579566,0.001082
0.761042,-0.000588
1.154768,0.000326
1.729987,0.001720
2.413481,0.000146
3.160624,0.001109
3.881212,-0.000147
4.503843,-0.000656
4.978330,-0.001378
5.244062,-0.000069
5.282418,-0.000724
5.089542,0.000308
4.683964,0.001271
4.109272,0.000410
3.416589,0.001019
2.670858,0.001655
1.951342,-0.000129
1.329615,0.000029
0.876828,-0.000505
0.616763,-0.001885
0.589269,-0.001343
0.795051,-0.000707
1.211990,0.000761
1.791270,-0.001196
2.500653,0.000527
3.233203,-0.000279
3.947573,-0.000414
4.567400,-0.001342
5.013892,-0.002092
5.258358,-0.000426
5.272310,0.000200
5.054859,-0.001001
4.636859,-0.000843
4.040585,-0.000051
3.343896,-0.000916
2.604710,-0.001733
1.877568,0.001176
1.276850,-0.000122
0.836594,-0.000045
0.604609,0.000284
0.598413,0.000810
0.823514,0.000558
1.254321,0.001846
1.842738,0.000718
2.549546,0.001878
3.295182,-0.000637
3.983011,-0.000940
4.585856,-0.000232
5.025984,0.002050
5.260225,0.000908
5.276467,0.000101
5.063390,0.001388
4.647503,0.000466
4.082589,-0.000659
3.395530,0.000479
2.675978,0.001448
1.976663,0.001433
1.364424,0.000298
0.906592,0.000907
0.634380,-0.000087
0.578354,0.000662
0.740533,0.000590
1.104600,-0.000506
1.638688,0.000824
2.279735,0.001343
2.989453,0.000654
3.699458,0.001097
4.337361,0.000793
4.840662,0.000616
5.169331,0.000043
5.295073,0.001018
5.207900,0.001488
4.911581,-0.000067
4.428365,0.000623
3.811332,-0.000489
3.115233,0.001911
2.401963,0.000066
1.733479,0.001475
1.184615,0.000473
0.793418,0.001620
0.591979,0.000304
0.606147,0.000152
0.831628,-0.001554
1.239932,-0.001298
1.805561,-0.001006
2.467077,-0.000316
3.169444,-0.000287
3.847873,0.000447
4.445282,-0.000518
4.911965,-0.000596
5.203957,-0.000264
5.297350,-0.000370
5.191779,-0.000905
4.895262,-0.000132
4.431533,-0.000115
3.849470,0.000194
3.190251,-0.001438
2.513268,-0.001554
1.861660,0.000207
1.317712,-0.000365
0.889859,-0.000259
0.636778,0.000769
0.572844,0.000197
0.699564,0.000419
1.003928,0.001710
1.465412,0.001034
2.044724,-0.000016
2.697180,0.002442
3.356018,0.001958
3.990072,-0.000266
4.534577,0.000017
4.957189,0.000080
5.217289,0.000142
5.296777,-0.000054
5.192652,-0.001684
4.909592,-0.001120
4.466669,0.000074
3.907847,-0.000362
3.269751,0.000568
2.612946,-0.000277
1.979717,0.000462
1.421971,-0.000257
0.984003,-0.001084
0.695520,-0.001037
0.572168,-0.000176
0.636277,-0.000611
0.876255,-0.000088
1.275542,0.000062
1.800336,0.001243
2.414632,-0.000353
3.059697,-0.000563
3.696732,0.000907
4.271890,-0.000335
4.750973,-0.000588
5.087197,-0.002030
5.274539,-0.000778
5.279893,-0.002132
5.111650,-0.001193
4.786484,-0.001736
4.328659,-0.001103
3.758522,-0.001666
3.150446,-0.000897
2.522003,0.000752
1.905599,0.000542
1.394105,0.000148
0.966332,0.001303
0.693672,0.000386
0.572689,-0.000370
0.618745,-0.000802
0.832321,-0.000486
1.185486,0.000419
1.651464,-0.000650
2.212805,-0.000056
2.815188,0.000834
3.435627,-0.001015
4.028229,-0.000816
4.528491,-0.000620
4.933320,-0.000344
5.193516,-0.000388
5.298149,0.000869
5.241719,-0.000729
5.030169,0.000402
4.671186,0.000763
4.197725,-0.000136
3.644775,0.000541
3.051490,0.000704
2.447972,0.000663
1.864903,0.000403
1.342375,0.002251
0.946269,0.000739
0.683863,0.000960
0.571765,0.000330
0.621302,0.001047
0.825512,0.000616
1.175895,0.000444
1.654234,-0.001695
2.209116,-0.001224
2.817842,0.001006
3.428160,-0.000659
4.010657,-0.000439
4.511568,0.000646
4.908588,0.000958
5.181146,0.000050
5.295130,0.001343
5.251221,-0.000022
5.045426,0.000748
4.693695,0.000084
4.221744,0.000327
3.678249,-0.000598
3.052927,-0.000488
2.448962,0.000275
1.868690,0.000669
1.354488,0.001411
0.965467,0.000659
0.690451,0.000471
0.572800,0.001662
0.612740,0.001232
0.804576,0.001382
1.139697,0.001041
1.588712,0.000951
2.129984,0.001313
2.728362,-0.000039
3.343083,0.000081
3.920532,-0.001693
4.433819,-0.001217
4.851410,-0.001572
5.144894,-0.000328
5.285995,-0.000155
5.270608,0.000256
5.099515,0.000853
4.779823,-0.000314
4.339298,0.000529
3.804394,0.000950
3.211721,-0.001663
2.601418,0.000942
2.001220,-0.001251
1.470155,-0.001563
1.038617,-0.002152
