Reference detector [V],Primary detector [V]
1.505458,0.000678
2.115632,0.001236
2.794484,0.001007
3.488976,-0.000598
4.136988,0.001139
4.680848,-0.000462
5.065928,-0.000331
5.261807,0.000979
5.254256,0.000378
5.038622,0.001403
4.647071,-0.001787
4.105936,0.000368
3.452583,0.000725
2.743374,0.000614
2.065222,0.000895
1.463189,0.001894
0.983143,0.000674
0.684283,0.000662
0.578408,0.001092
0.675987,0.000376
0.968063,-0.000412
1.435868,0.001089
2.024024,-0.000376
2.696470,0.000246
3.391917,0.000060
4.049274,0.000959
4.605324,0.001127
5.016021,-0.000326
5.245083,0.000311
5.270821,0.001650
5.093197,0.000992
4.728863,0.000640
4.206276,0.000878
3.577218,0.001333
2.884450,0.000069
2.214175,-0.001039
1.585809,0.000039
1.077452,0.000453
0.740270,-0.001032
0.585227,-0.000239
0.633789,0.002153
0.880242,0.001205
1.305926,0.000389
1.871116,0.000133
2.527077,0.000460
3.211587,0.000629
3.879398,0.001402
4.461438,-0.000110
4.915938,0.000305
5.198984,0.000067
5.284707,0.000209
5.165467,0.000896
4.857285,0.000849
4.383880,0.000914
3.787399,0.000733
3.100891,-0.001473
2.417429,-0.000603
1.776307,0.000953
1.232383,-0.000660
0.833293,-0.000008
0.614621,0.001520
0.593944,-0.000310
0.783654,0.000531
1.144674,0.000338
1.669312,0.000863
2.302176,0.001088
3.000316,0.000156
3.676383,0.000569
4.279666,0.000268
4.791365,0.000477
5.129377,0.001420
5.279208,0.000616
5.230257,0.001900
4.985291,0.000457
4.570183,0.000578
4.004315,-0.000474
3.358144,0.001244
2.679629,0.001336
2.011675,0.000572
1.421385,0.000863
0.964704,0.001648
0.676246,0.000417
0.578003,-0.000182
0.680646,0.000679
0.971267,0.001057
1.438271,0.000617
2.018761,0.000466
2.681903,-0.001265
3.368312,-0.000486
4.015631,-0.000940
4.579942,-0.000663
4.991633,0.000025
5.233020,0.000351
5.277171,-0.000778
5.118749,-0.001001
4.770723,-0.001306
4.277084,-0.001416
3.669335,-0.000383
2.986302,-0.000702
2.301434,-0.000415
1.680156,-0.000330
1.157558,-0.000313
0.783018,0.001116
0.598308,0.001775
0.609882,-0.000042
0.821591,0.001280
1.215217,0.002156
1.769472,0.002502
2.412242,0.000239
3.096545,0.001380
3.774757,0.000134
4.375299,0.001465
4.847982,-0.000285
5.160631,-0.000143
5.283431,0.000473
5.207244,0.000010
4.925279,0.001716
4.494543,0.001383
3.919343,0.000334
3.261542,0.000698
2.560361,0.000379
1.884774,0.001338
1.324592,-0.000325
0.893080,0.002243
0.639275,0.000576
0.581656,0.000322
0.717206,0.000031
1.036336,0.000648
1.531906,0.000786
2.133662,-0.000390
2.815520,0.001678
3.493049,0.002041
4.129671,0.000442
4.659898,0.001481
5.041069,0.000780
5.251611,-0.000881
5.270146,0.000680
5.083441,0.000164
4.728867,0.001513
4.221638,0.000707
3.604055,-0.001626
2.927474,0.000521
2.253536,0.000484
1.634831,0.002040
1.115271,0.001053
0.765547,0.000504
0.592596,0.001139
0.615004,0.001581
0.831480,0.001964
1.217707,0.000274
1.751097,0.000367
2.390182,0.001084
3.060922,-0.000057
3.726691,-0.000402
4.331307,0.000778
4.810796,0.000673
5.138056,0.000826
5.281844,-0.000066
5.230627,0.000530
4.996663,-0.000123
4.592857,0.000139
4.049310,0.001400
3.408658,-0.001041
2.737405,-0.000299
2.091221,-0.000059
1.493072,0.001266
1.023614,-0.000470
0.712046,0.000062
0.579777,-0.000590
0.642134,-0.000309
0.894588,0.000208
1.286050,0.000638
1.839733,0.000644
2.467735,0.000133
3.132001,0.000752
3.790361,0.001375
4.367793,0.002115
4.835238,0.001214
5.140951,0.000676
5.281852,0.000307
5.231969,-0.000182
5.003223,0.000806
4.616787,0.001499
4.092150,0.002113
3.481761,0.001635
2.819510,0.000981
2.163652,0.001099
1.578787,0.001822
1.102720,-0.000391
