Reference detector [V],Primary detector [V]
5.299502,-0.000408
5.198003,-0.000772
4.908236,-0.000145
4.445924,0.001354
3.856177,-0.001439
3.200990,0.000000
2.529413,-0.000224
1.871798,-0.001558
1.308853,-0.001460
0.886415,-0.002323
0.631834,-0.001180
0.575856,-0.002045
0.721912,-0.001015
1.037360,-0.001298
1.523949,0.000113
2.125874,0.000577
2.798591,-0.001496
3.474572,-0.000321
4.116863,0.001940
4.650194,-0.000382
5.043986,0.002133
5.260953,0.001085
5.281554,-0.000117
5.098941,0.001372
4.730524,0.000867
4.204273,0.002016
3.585474,0.001660
2.906920,0.000835
2.221672,0.001168
1.603750,0.000412
1.089883,0.001031
0.744699,-0.000165
0.581478,0.000352
0.621034,0.000415
0.854361,0.000825
1.266940,0.000089
1.828005,0.001675
2.474775,0.001133
3.168889,0.002138
3.830721,0.001070
4.418778,0.000678
4.880384,0.001364
5.181695,-0.000151
5.298096,0.000611
5.214104,0.000968
4.937635,0.001079
4.491201,0.001148
3.914922,0.001510
3.267130,0.000429
2.580785,0.000722
1.926663,0.001921
1.359020,0.001362
0.922387,0.000838
0.651550,0.001727
0.571425,0.000169
0.693017,-0.001581
0.986154,-0.001374
1.450368,0.000294
2.039738,0.000769
2.686997,-0.000070
3.366495,-0.001823
4.017759,0.000777
4.574326,0.001306
4.994243,0.001092
5.237200,0.001172
5.294803,-0.000463
5.160030,0.000231
4.837685,0.000393
4.364456,0.000606
3.761350,0.000063
3.101885,-0.000553
2.422072,-0.002154
1.785983,-0.001147
1.244952,-0.000325
0.844257,0.001058
0.617374,0.002216
0.581625,0.001495
0.740997,0.002039
1.080790,0.002226
1.577262,0.000060
2.180415,0.000288
2.857204,0.000100
3.520925,-0.000154
4.153276,0.000326
4.686528,-0.000264
5.066996,-0.000070
5.271001,-0.000451
5.279320,-0.000354
5.096484,0.001028
4.732326,0.001600
4.226109,0.001097
3.612875,0.001424
2.928679,0.001240
2.256525,0.000161
1.630601,-0.000116
1.127823,-0.001497
0.768374,0.000187
0.588468,-0.000516
0.603919,-0.001066
0.815573,-0.001191
1.195525,0.000236
1.726719,0.001455
2.353433,0.000659
3.034336,-0.000253
3.708355,0.000588
4.311654,0.000222
4.801529,-0.000609
5.134604,-0.000209
5.290162,-0.000482
5.249369,-0.002450
5.007813,-0.000586
4.595153,-0.001487
4.026002,0.000381
3.368252,0.001450
2.681424,0.000989
2.016953,0.001684
1.434133,0.000455
0.967019,0.001544
0.677293,0.001033
0.571324,-0.000126
0.665064,0.001263
0.955636,-0.000232
1.413386,0.001403
2.008598,0.002225
2.677879,0.000583
3.372693,-0.000737
4.034347,-0.001039
4.592849,0.000180
5.013829,0.001551
5.252868,0.000548
5.289219,-0.000451
5.120743,-0.000076
4.761410,0.001038
4.254162,0.000800
3.617694,-0.000556
2.924407,0.001424
2.233425,-0.000310
1.597243,0.000259
1.080008,-0.000340
0.733171,-0.001044
0.578932,0.001036
0.627227,0.000734
0.877227,0.000638
1.305482,0.000148
1.877130,0.000651
2.542485,-0.000091
3.240026,0.000508
3.908030,0.000997
4.498510,-0.000122
4.946463,-0.000854
5.224277,-0.000278
5.298131,-0.000501
5.166064,-0.000701
4.839969,0.000590
4.350647,0.002306
3.734608,0.001399
3.046898,0.003073
2.330481,0.000148
1.692465,0.000886
1.159158,0.001147
0.779081,0.001138
0.588575,0.001263
0.609298,-0.000265
0.830210,0.000509
1.230744,0.000989
1.793520,0.000203
2.457848,-0.000412
3.153489,0.001956
3.845010,0.002774
4.444050,0.000205
4.918804,0.001428
5.209269,-0.000235
5.297903,-0.001499
5.175679,0.000527
4.858677,0.000347
4.356056,0.000718
3.743307,-0.000033
3.040039,0.000388
2.353272,0.001971
1.708104,-0.000358
1.156702,0.001707
0.773498,0.001618
0.588098,0.001267
0.606842,0.000710
0.830854,0.000559
1.241380,0.000306
1.799404,-0.000751
2.463385,-0.000630
3.169965,-0.000042
3.849452,-0.000892
4.437900,0.000328
4.918969,-0.000399
5.206304,-0.001241
5.298752,-0.000762
5.185334,0.000171
4.872431,-0.000780
4.387976,0.000034
3.808880,-0.000295
3.110969,-0.002597
2.411675,-0.001055
1.760379,-0.001785
1.203842,-0.001516
0.805178,-0.003730
0.598885,-0.002915
0.594529,-0.002129
0.792101,-0.002478
1.177887,0.000782
1.708182,0.000644
2.337275,0.000439
3.041867,-0.000328
3.724456,0.001025
4.329596,0.001836
4.824213,0.000567
5.160825,-0.000380
5.296239,0.000902
5.228594,0.000491
4.964108,0.000192
4.532862,0.000804
3.961262,-0.000218
3.296370,0.000646
2.596857,0.000587
1.936029,0.000089
1.356801,0.000275
0.918111,-0.000658
0.647505,0.000042
0.572720,-0.000725
0.703074,-0.000189
1.023042,-0.001344
1.501232,-0.000907
2.106263,-0.000376
2.769901,-0.000087
3.457731,-0.000014
4.090488,-0.000673
4.659226,0.001043
5.050207,0.001061
5.263398,0.001511
5.283052,0.000678
5.107847,0.000752
4.746018,0.000129
4.242954,0.001366
3.608556,0.000102
2.935240,0.000031
2.257175,-0.000899
1.633759,0.000020
1.120255,-0.000431
0.762576,0.001330
0.587521,0.001501
0.607741,-0.000623
0.823597,0.000155
1.206849,0.001317
1.747148,0.000016
2.377393,0.000129
3.063640,0.000752
3.735133,-0.000662
4.349003,-0.000169
4.825906,0.001115
5.151548,-0.000318
5.294975,-0.000370
5.240318,-0.000912
4.990369,0.000882
4.580142,0.001476
4.022421,0.001572
3.381599,0.001261
2.706332,0.000550
2.031464,0.001099
1.448890,0.000519
0.979917,-0.000910
0.681212,0.000567
0.571560,-0.001261
0.661112,-0.000818
0.942012,0.000260
1.392588,0.000824
1.967902,0.001040
2.619962,0.001574
3.310878,0.001749
3.966837,-0.000298
4.535978,0.000743
4.976723,0.001498
5.235316,-0.000441
5.295302,0.000446
5.152305,-0.000852
4.821332,0.000167
4.315208,-0.000251
3.694736,-0.000690
3.009416,0.000235
2.324968,0.001712
1.694982,0.001645
1.160633,0.002609
0.782096,0.001587
0.591574,-0.000555
0.603825,0.000009
0.818158,0.000565
1.212097,0.001612
1.754189,0.001273
2.405969,-0.000057
3.103404,0.000958
3.776636,-0.000365
4.382040,0.001230
4.867016,0.001019
5.182518,0.000116
5.300031,0.001924
5.217048,0.000640
4.934813,0.000682
4.475682,0.001222
3.888604,0.001867
3.217266,0.001348
2.522627,0.000014
1.869307,0.000279
1.294636,0.000672
0.869252,0.001626
0.623307,0.001439
0.580296,0.000562
0.745262,0.000022
1.108248,-0.000100
1.619298,0.000007
2.243651,0.000888
2.947411,0.000071
3.641196,-0.002079
4.279720,-0.001727
4.797698,-0.001539
5.141686,-0.000211
5.295105,-0.000572
5.240539,-0.000208
4.978634,0.001171
4.536998,0.000203
3.947988,-0.000514
3.262355,0.001458
2.562360,0.001818
1.886437,-0.001394
1.312697,-0.000975
0.873349,0.000823
0.624078,0.000437
0.582257,-0.001577
0.752812,-0.001754
1.118912,0.001222
1.647949,-0.000379
2.282941,-0.000122
2.992769,-0.000279
3.677886,0.000646
4.312718,-0.000913
4.818954,-0.001125
5.156981,-0.000469
5.297199,-0.001899
5.229035,-0.001508
4.957308,-0.000222
4.508729,-0.000490
3.919161,-0.000401
3.239546,-0.000798
2.536444,-0.000304
1.865319,-0.000772
1.295894,0.000619
0.867742,0.000547
0.622516,0.000332
0.583168,-0.000506
0.756438,-0.000767
1.119027,-0.001538
1.648025,-0.000215
2.287733,-0.001340
2.992681,-0.001679
3.675558,-0.001367
4.306249,-0.001380
4.806870,-0.000416
5.152085,-0.000318
5.296219,-0.000111
