Reference detector [V],Primary detector [V]
4.846581,-0.002831
5.127742,-0.002539
5.276179,-0.001147
5.284385,0.000281
5.152895,-0.000603
4.888935,0.000381
4.513483,-0.000219
4.042652,-0.000618
3.506263,0.000816
2.931210,0.001175
2.369499,-0.000051
1.814831,-0.000646
1.352538,0.001021
0.975200,0.001830
0.712443,0.000682
0.581727,0.001199
0.596867,0.000014
0.749392,0.000496
1.039973,0.000549
1.434550,0.000561
1.936681,-0.000858
2.481792,0.000256
3.058316,0.000416
3.631902,0.000134
4.169425,-0.000493
4.626565,-0.000401
4.985468,-0.000652
5.211926,0.000659
5.297822,-0.000629
5.237851,0.001167
5.035419,0.002067
4.699306,0.001902
4.259882,0.001675
3.735722,0.002654
3.157243,0.000955
2.579939,0.000628
2.007070,0.002136
1.490045,0.002238
1.071532,0.001923
0.774112,0.001648
0.603796,0.001241
0.579724,0.000946
0.702634,0.000503
0.968291,0.002227
1.356153,0.001569
1.846713,0.001910
2.394575,0.001349
2.984374,0.001648
3.579298,0.001511
4.121283,0.001322
4.594437,-0.000577
4.959104,0.000855
5.196901,-0.000966
5.296119,-0.000267
5.244601,-0.000513
5.047624,-0.000065
4.711473,-0.000728
4.272130,-0.000397
3.742797,-0.001346
3.159785,-0.000413
2.566244,0.000260
1.981922,-0.000039
1.462575,-0.000216
1.046930,-0.002091
0.751577,-0.001806
0.593661,-0.001376
0.589833,-0.001768
0.740617,-0.002153
1.026235,-0.001026
1.443305,-0.000568
1.955461,0.000957
2.536558,0.000158
3.139675,-0.000257
3.728362,0.001323
4.267793,0.001450
4.721303,0.000109
5.060494,-0.001008
5.252208,0.000674
5.293565,-0.000073
5.178120,-0.001048
4.916087,-0.000049
4.523015,0.001372
4.033032,0.001635
3.449858,0.002375
2.849058,0.002185
2.245162,0.001013
1.688583,0.000414
1.212736,-0.000372
0.859435,0.001275
0.641305,0.000979
0.573231,-0.000960
0.664056,-0.000549
0.904512,-0.000946
1.279446,-0.000353
1.757610,-0.000827
2.330334,-0.000559
2.938310,0.000745
3.542140,0.001426
4.112413,0.001762
4.595132,0.000163
4.969787,0.001586
5.212323,-0.001286
5.297121,0.000136
5.224413,-0.000716
4.995478,-0.001600
4.635155,-0.001090
4.153471,-0.001254
3.586294,-0.001454
2.973778,0.001395
2.360615,0.000937
1.786101,-0.000103
1.285956,-0.000542
0.902447,0.000254
0.660373,-0.000170
0.571920,-0.000629
0.645790,-0.000325
0.880382,0.000610
1.255898,-0.000115
1.748404,-0.000927
2.320215,0.000041
2.928313,0.000524
3.543678,-0.000262
4.110571,0.000688
4.596708,0.000620
4.984317,0.000968
5.218322,0.001311
