Reference detector [V],Primary detector [V]
4.155018,-0.001212
4.701146,-0.000534
5.085802,-0.000820
5.271534,-0.000378
5.242680,-0.001629
5.002544,-0.000900
4.569298,-0.000502
3.979960,-0.000277
3.302316,-0.000452
2.593614,-0.000878
1.911242,-0.000095
1.315954,-0.002219
0.877277,-0.001937
0.626341,-0.000717
0.590584,-0.001831
0.775389,-0.002425
1.162908,0.000159
1.717732,0.000421
2.400106,-0.000511
3.111890,0.000134
3.827292,-0.001361
4.447634,0.000050
4.918018,-0.001367
5.214394,-0.000463
5.282278,-0.001096
5.128419,-0.003419
4.766139,-0.001722
4.225067,-0.000780
3.552678,-0.001209
2.822347,0.000701
2.108525,-0.001510
1.478462,-0.000709
0.972882,0.001134
0.663591,-0.001387
0.580255,0.000146
0.731201,0.000842
1.101215,-0.001031
1.644521,0.000245
2.320909,-0.002727
3.051874,0.000424
3.768662,0.001057
4.409818,-0.000090
4.911933,0.000603
5.209645,0.000928
5.282707,0.000468
5.128191,-0.000853
4.753476,-0.001079
4.204134,-0.000482
3.526292,0.000534
2.796109,0.000976
2.082527,0.000016
1.444448,0.001158
0.953883,0.000126
0.656664,0.000593
0.582362,0.001932
0.736701,0.000305
1.109713,0.001063
1.654650,0.002567
2.327442,0.002023
3.065781,0.001687
3.782759,0.000366
4.428313,-0.000117
4.920789,-0.000998
5.215098,-0.000273
5.280431,-0.001651
5.111068,-0.000555
4.724327,0.000129
4.157047,0.000128
3.467403,0.000652
2.718486,0.000840
1.992506,0.000991
1.357495,0.001005
0.887846,0.000667
0.625139,-0.000350
0.596669,0.000933
0.801632,0.001056
1.231182,0.000429
1.824533,0.000240
2.534631,-0.000188
3.285759,0.000662
4.006158,-0.000301
4.605764,-0.000784
5.041884,-0.000209
5.266174,0.001615
5.242616,0.001512
4.980523,0.000976
4.503426,0.000664
3.870615,0.000986
3.143561,0.001929
2.390629,-0.001002
1.695744,-0.000687
1.129364,-0.001606
0.745925,-0.000257
0.583859,-0.000702
0.657524,-0.000868
0.966225,0.000433
1.472266,0.001525
2.128904,0.000235
2.866677,0.000473
3.601860,-0.000462
4.267131,-0.001534
4.808096,-0.000847
5.156303,-0.002401
5.285388,-0.002704
5.184784,-0.001638
4.861279,-0.002901
4.344011,-0.001661
3.685616,-0.001897
2.959274,0.000153
2.222416,0.000272
1.563172,0.000670
1.035761,0.000957
0.695716,-0.001326
0.579812,-0.001710
0.699143,-0.001066
1.036004,-0.002750
1.561993,-0.001029
2.219629,-0.001109
2.960178,-0.000920
3.682957,-0.001062
4.331654,-0.000352
4.849310,-0.000132
5.180921,0.000113
5.286591,0.001069
5.156621,0.000725
4.808069,-0.000984
4.262836,0.000528
3.606430,0.001159
2.875309,-0.001600
2.136115,-0.001836
1.489370,-0.001627
0.981962,-0.002526
0.671643,-0.001074
0.581110,-0.001912
0.719083,-0.000172
1.077287,0.000183
1.606491,0.001111
2.281048,-0.000515
3.000098,-0.001672
3.722155,-0.000998
4.371324,0.000642
4.874534,0.000448
5.193419,-0.000397
5.285774,0.000421
5.152283,0.001131
4.803297,0.000013
4.265793,-0.000171
3.606707,-0.000003
2.879993,0.000416
2.172912,-0.000180
1.516485,-0.000515
1.011273,-0.001081
0.688249,-0.000058
0.579514,0.000177
0.696629,-0.001186
1.026932,-0.002341
1.538998,-0.002508
2.187952,-0.001114
2.916199,-0.002844
3.644148,-0.001822
4.298526,0.000834
4.821426,-0.001115
