Reference detector [V],Primary detector [V]
3.449176,-0.000874
4.052059,0.000165
4.562627,0.000961
4.956397,-0.000582
5.206933,-0.000811
5.292713,-0.000330
5.205453,0.001180
4.951011,0.000342
4.558134,-0.000092
4.036247,-0.000178
3.432197,0.000473
2.806027,0.000041
2.188976,0.001219
1.617401,0.000926
1.139155,-0.000383
0.796768,-0.000040
0.607679,-0.000684
0.587822,-0.000027
0.736368,-0.000034
1.046675,-0.000614
1.477320,-0.000396
2.026225,-0.002025
2.634412,-0.001462
3.274474,0.001214
3.876943,-0.000906
4.417863,0.000493
4.846492,-0.000127
5.140901,0.000167
5.280319,0.000873
5.256487,0.000070
5.066399,-0.000928
4.727454,-0.000163
4.261818,-0.001602
3.707427,-0.000637
3.097706,-0.000498
2.462380,-0.000205
1.870867,-0.000758
1.353091,-0.001973
0.952473,0.000175
0.683524,-0.000371
0.576191,0.000405
0.634263,0.000122
0.853805,-0.000746
1.219880,-0.000799
1.708344,-0.000595
2.279972,-0.000941
2.896196,-0.000172
3.503960,0.000314
4.088433,-0.000291
4.591972,-0.000651
4.979815,0.001177
5.216228,0.002094
5.292097,0.001310
5.203575,0.001339
4.955340,0.001713
4.568659,0.000178
4.063097,-0.000370
3.480726,0.000891
2.862901,-0.000043
2.241646,-0.000665
1.670920,0.001210
1.188845,0.001484
0.834435,-0.000284
0.624118,0.002371
0.578769,0.002233
0.695149,0.000923
0.964773,0.001992
1.383686,0.002433
1.896237,0.001568
2.481929,0.001121
3.113844,0.000735
3.713016,0.000966
4.270980,-0.000131
4.730672,0.000717
5.066848,-0.000091
5.253844,-0.000252
5.285449,-0.000696
5.161752,0.000574
4.881979,-0.001258
4.475393,0.000138
3.971056,0.000122
3.382490,-0.002153
2.758017,-0.000898
2.154536,-0.002435
1.611633,-0.000775
1.153253,-0.001064
0.819917,-0.002192
0.620380,-0.002440
0.577923,-0.002571
0.691469,-0.000932
0.950790,-0.000981
1.345162,-0.002188
1.848715,-0.001748
2.407874,-0.000423
3.006366,0.000212
3.600573,0.001063
4.162284,0.001747
4.619335,-0.000719
4.980979,-0.001621
5.213360,-0.001678
5.292902,-0.000199
5.221826,0.000145
5.006135,0.001044
4.656379,0.000124
4.199476,0.001255
3.672922,0.002402
3.100457,0.001289
2.509245,0.000107
1.956736,0.001222
1.463246,-0.000206
1.051936,0.000414
0.758910,0.000444
0.601143,-0.000704
0.582614,-0.000109
0.705802,0.001571
0.958882,0.001065
1.321662,0.001015
1.786663,0.002678
2.313226,0.002050
2.883243,0.000346
3.441870,0.000696
3.980316,0.000357
4.462232,0.000500
4.831121,0.000565
5.114440,-0.000315
5.264321,-0.000365
5.286646,-0.001360
5.179334,-0.000130
4.941248,-0.001287
4.600062,-0.000206
4.169826,0.000338
3.677242,0.000711
3.136880,0.000941
2.584903,-0.000884
2.050874,-0.001046
1.575802,-0.001619
1.172037,-0.002111
0.861457,-0.001859
0.660174,-0.000388
0.574232,-0.001041
0.610000,0.000260
0.767470,0.000810
1.039936,0.000572
1.405387,-0.000003
1.837018,0.002259
2.332912,0.001654
2.858351,0.001441
3.386338,0.000342
3.893706,0.000133
4.349642,-0.000979
4.734637,-0.000137
5.021759,0.000455
5.214904,-0.000465
5.294337,-0.000622
5.252875,0.000497
5.095240,0.001859
4.829817,0.000096
4.469148,0.001918
4.055768,0.000724
3.565472,0.000241
3.041413,0.001140
2.505200,0.001544
2.006058,0.000814
1.545889,0.000207
1.151083,-0.000735
0.859064,0.000146
0.658412,0.001050
0.574707,-0.000918
0.608705,-0.001084
0.753912,0.000380
1.010185,0.000115
1.360256,-0.000612
1.772502,-0.001376
2.259530,-0.000962
2.775723,-0.001470
3.298682,-0.002962
3.805141,-0.001716
